Date Collected,State,blank,blank,Facility_Name,Facility_Type,blank,blank,blank,blank,blank,blank,Resolved_Y_N,blank,Postive_Patients_Desc,blank,blank,blank,blank,blank,blank,blank,Unresolved_Postive_Patients_Desc,blank,blank,blank,blank,blank,blank,blank,Dashboard_Display
20210526,UT,,,The Wentworth at Coventry,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Welcome Home Assisted Living - American Fork,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Wentworth at the Meadows,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hillcrest Care Center,Intermed Care/Intel Disabled,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Ridge Foothill Sr. Living,Assisted Living,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Aspen Ridge West,Nursing Home,,,,,,,Y,,5 to 10,,,,,,,,,,,,,,,,N
20210526,UT,,,Tophams Tiny Tots,Intermed Care/Intel Disabled,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Aspen Ridge of Utah Valley,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Paramount Health & Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Terrace at Mount Ogden,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Parkway Health Center in Payson,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Southern Utah Veterans Home - Ivins,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Carrington Court,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sun Ridge of West Jordan,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Heritage Park,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Hunter Hollow,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Country View Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hidden Hollow Care Center,Intermed Care/Intel Disabled,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Haven at Sky Mountain,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Thatcher Brook Rehab & Care Center,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Welcome Home AL Bountiful,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Summit Senior Living,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Midtown Manor,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Fairview Care Center East,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Canyon Rim Care Center,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hunter Hollow,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sunrise at Holladay,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Life Care Center of Bountiful,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Canyon Creek Assisted Living,Assisted Living,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Paramount Health and Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Springville,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Cedar City,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Harmony Hills,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Crescent Senior Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House at Park Lane,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Ridge Cottonwood,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Provo Rehab and Nursing,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,William E Christofferson Salt Lake Veterans Home,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Canterbury Assisted Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Riverwalk,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Riverton,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,City Creek Post Acute,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy Village of Provo,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Wentworth at the Meadows,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Alta Ridge of Sandy,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Willow Wood Care Center,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Heritage Place Senior Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Abbington Manor Memory Care,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Advanced Health Care of St. George,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Utah State Developmental Center,Intermed Care/Intel Disabled,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Homes of Lehi,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Covington Senior Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Highland Care Center,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House of Taylorsville,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Lindon Care and Training Center,Intermed Care/Intel Disabled,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy Village Memory Care,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hunter Hollow,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sandy Health and Rehab,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,St. Joseph Villa,Nursing Home,,,,,,,Y,,5 to 10,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy Village of Sugarhouse,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Apple Tree Assisted Living,Assisted Living,,,,,,,Y,,5 to 10,,,,,,,,,,,,,,,,N
20210526,UT,,,The Wentworth Coventry | Senior Living,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Mervyn Sharp Bennion Central UT Veterans Home,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Summerfield Retirement Living Inc,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Orem,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stoney Brooke of Riverdale,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Avalon West Health and Rehabilitation,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Brookdale Cedar City,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Clearfield,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Life Care Center of Bountiful,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Maple Springs Assisted Living,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Tradition Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House of Logan,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of American Fork,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cottonwood Creek Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Mesa Vista Care Center,Intermed Care/Intel Disabled,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Alta Ridge of Sandy,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House of Bountiful,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Riverwalk,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Covington Senior Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,St. George Rehabilitation,Nursing Home,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Utah State Developmental Center,Intermed Care/Intel Disabled,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Fairfield Village Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Draper Rehabilitation and Care Center,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Canyon Rim Care Center,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Lotus Park Care Centers,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Wentworth at the Meadows,Assisted Living,,,,,,,Y,,5 to 10,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Cedar City,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of American Fork,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Autumn Care Living Center,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,"Ashford Memory Care, Inc",Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Homes of SLC,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Aspen Ridge West,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Provo Rehabilitation and Nursing,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Homes of East Millcreek,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hillcrest Care Center,Intermed Care/Intel Disabled,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Assisted Living of Draper,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Homes of Riverton,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Brighton House of Riverton,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Mt. Ogden Health and Rehab Center,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Terrace Grove Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Southgate Senior Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Summit Senior Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sterling Court,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Woodland Park,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Willow Springs,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Heritage Care Center American Fork,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Orem Rehabilitation and Nursing Center,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Spring Creek Healthcare Center,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Southern Utah Veterans Home - Ivins,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Avalon Care Center,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Ogden,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sunrise at Holladay,Assisted Living,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Crescent Senior Living,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,The Wentworth at Coventry,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Whisper Cove Assisted Living and Memory Care,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive homes of Provo,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,NeuroRestorative/Country Life Care Center,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Copper Ridge,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,The Sheridan at South Jordan,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of Orem,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Tophams Tiny Tots,Intermed Care/Intel Disabled,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Meadow Brook Rehab and Nursing,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Lodge at Riverton,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,North Canyon Care Center,Nursing Home,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Avalon Valley Rehabilitation,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Holladay Healthcare Center,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,George E Wahlen Ogden Veterans Home,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Four Corners Regional Care Center,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Clearfield,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Country Oaks Assisted Living of Layton,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House of Bountiful,Assisted Living,,,,,,,Y,,5 to 10,,,,,,,,,,,,,,,,N
20210526,UT,,,Advanced Health Care of Salem,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Riverwalk,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Life Care Center of Bountiful,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Logan,Nursing Home,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Willow Wood Care Center,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,The Ridge at Foothill,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy House of Park Lane,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Hunter Hollow,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Capitol Hill Care Center,Assisted Living,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Wide Horizons Intermediate Care Facility,Intermed Care/Intel Disabled,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Rosewood Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Country Care Assisted Living Farmington,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Auberge of North Ogden,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Waikoloa Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Courtyard at Jamestown,Assisted Living,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Raintree Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Orchard Park,Nursing Home,,,,,,,Y,,11 to 20,,,,,,,,,,,,,,,,N
