County,Facility Name,Active Positive Residents,Active Positve Staff,COVID-19 Associated Deaths,Recovered Residents,Recovered Staff,Cumulative Residents,Cumulative Staff,Cumulative COVID-19 Deaths,Active Outbreak
Harrison,Bridgeport Health Care Center,0,0,0,0,5,0,5,0,Yes
Harrison,Clarksburg Nursing and Rehabilitation Center,0,0,0,0,0,0,3,0,No
Harrison,Salem Center,0,0,0,0,0,24,22,10,No
Harrison,Stonerise Bridgeport (Meadowview Manor),5,3,3,33,31,38,34,3,Yes
Harrison,Stonerise Clarksburg (River Oaks),23,11,7,41,34,64,45,7,Yes
Harrison,United Transitional Care Center,0,2,0,0,1,0,3,0,Yes
Harrison,West Virginia Veterans Nursing Facility,3,6,0,0,4,3,13,0,Yes
Jackson,Eldercare Health and Rehabilitation,0,0,0,0,0,72,36,15,No
Jackson,Ravenswood Village,16,3,0,0,0,16,3,0,Yes
Jefferson,Canterbury Center,0,2,0,0,0,1,2,0,Yes
Jefferson,Shenandoah Center,1,1,4,16,3,17,4,4,Yes
Jefferson,Willow Tree Healthcare Center,37,21,5,6,3,45,28,5,Yes
Kanawha,Arthur B Hodges Center,0,0,0,0,0,0,2,0,No
Kanawha,Cedar Ridge Center,0,0,0,0,0,83,40,6,No
Kanawha,Columbia St. Francis Hospital,0,0,0,0,0,0,1,0,No
Kanawha,Dunbar Center,0,5,1,6,11,18,28,2,Yes
Kanawha,Glasgow Health and Rehabilitation Center,0,0,0,0,0,53,33,8,No
Kanawha,Marmet Center,0,1,0,0,0,60,31,11,Yes
Kanawha,Meadowbrook Acres,0,0,0,0,0,50,40,12,No
Kanawha,Oak Ridge Center,1,4,0,0,1,23,26,2,Yes
Kanawha,Riverside Health and Rehabilitation Center,0,0,0,0,0,36,35,11,No
Kanawha,Stonerise Charleston (Eastbrook Center),0,3,1,12,13,32,32,4,Yes
Kanawha,Valley Center,65,26,0,0,0,88,46,6,Yes
Lewis,Crestview Manor Nursing and Rehabilitation,0,0,0,0,0,0,0,0,No
Lincoln,Lincoln Nursing and Rehabilitation Center,1,1,0,1,4,2,6,0,Yes
Logan,Logan Center,0,0,0,0,0,3,1,1,No
Logan,Trinity Health Care of Logan,0,0,0,0,0,97,69,18,No
Marion,Fairmont Healthcare and Rehabilitation Center,0,4,0,0,0,0,4,0,Yes
Marion,John Manchin Sr. Health Care Center,0,4,0,0,0,0,4,0,Yes
Marion,Pierpont Center at Fairmont Campus,0,0,0,0,0,5,6,0,No
Marion,St. Barbara's Memorial Nursing Home,2,1,2,18,16,20,17,2,Yes
Marion,Tygart Center at Fairmont Campus,2,5,0,0,0,2,6,0,Yes
Marshall,Cameron Nursing and Rehabilitation Center,0,0,11,0,,42,28,11,No
Marshall,Stonerise Moundsville (Mound View),2,13,10,78,61,80,74,10,Yes
Mason,Lakin Hospital,0,3,3,16,30,16,33,3,Yes
Mason,Pleasant Valley Nursing and Rehabilitation Center,0,0,0,2,6,2,7,0,Yes
Mc Dowell,McDowell Nursing and Rehabilitation Center,0,0,0,0,0,0,4,0,No
McDowell,Welch Community Hospital,0,0,0,0,0,0,2,0,No
Mercer,Maples Health Care,0,4,0,0,0,0,6,0,Yes
Mercer,Mercer Nursing and Rehabilitation Center,0,1,0,0,7,0,8,0,Yes
Mercer,Princeton Health Care Center,0,1,0,0,3,53,43,24,Yes
Mercer,Stonerise Princeton (Princeton Center),0,0,0,0,0,0,2,0,No
Mineral,Dawn View Center,11,1,0,0,2,11,9,0,Yes
Mineral,Stonerise Keyser (Piney Valley),18,24,25,45,40,63,64,25,Yes
Mingo,Trinity Health Care of Mingo,0,0,0,0,0,15,6,2,No
Monongalia,Madison Center,21,5,0,0,2,0,7,0,Yes
Monongalia,Morgantown Health and Rehabilitation Center,0,1,0,0,0,0,1,0,Yes
Monongalia,Stonerise Morgantown (Mapleshire Nursing and Rehabilitation Center),49,16,3,8,14,57,30,3,Yes
Monongalia,Sundale Nursing Home,0,0,0,0,0,35,24,5,No
Monroe,Stonerise Lindside (Springfield Center),0,2,0,0,0,43,74,7,Yes
Morgan,Stonerise Berkeley Springs (Berkeley Springs Center),0,0,0,0,0,0,0,0,No
Morgan,War Memorial Hospital Extended Care Facility,0,0,0,0,0,0,5,0,No
Nicholas,Summersville Regional Medical Center,0,2,0,0,0,1,2,0,Yes
Ohio,Continuous Care Center Wheeling Hospital,7,7,0,4,17,16,33,1,Yes
Ohio,Good Shepherd Nursing Home,1,1,0,19,40,20,41,0,Yes
Ohio,Guardian Elder Care at Wheeling,18,1,17,66,42,84,43,17,Yes
Pendleton,Pendleton Manor,0,1,0,0,1,3,8,0,Yes
Pleasants,Stonerise Belmont (Carehaven of Pleasants),0,0,0,0,0,0,1,0,No
Pocahontas,Pocahontas Center,38,15,1,23,16,61,31,1,Yes
Preston,Hopemont Hospital,20,13,0,6,15,26,28,0,Yes
Preston,Pine Ridge,48,47,9,32,4,80,51,9,Yes
Putnam,Putnam Center,2,4,12,56,34,58,38,12,Yes
Putnam,Teays Valley Center,0,3,6,32,34,32,37,6,Yes
Raleigh,Jackie Withrow Hospital,0,1,0,2,10,2,11,0,Yes
Raleigh,Pine Lodge,4,2,0,0,0,49,24,6,Yes
Raleigh,Raleigh Center,0,0,0,2,4,2,4,0,Yes
Raleigh,Stonerise Beckley (Harper Mills),2,3,0,1,2,3,11,0,Yes
Randolph,Elkins Regional Convalescent Center,0,0,0,0,0,0,1,0,No
Randolph,Nella's Inc,0,1,0,3,5,3,12,0,Yes
Randolph,Nellas Nursing Home,0,1,0,0,2,0,4,0,Yes
Ritchie,Pine View Nursing and Rehabilitation Center,1,1,4,18,17,19,18,4,Yes
Roane,Miletree Center,1,2,1,0,3,2,5,1,Yes
Roane,Roane General Hospital,1,7,0,0,0,4,8,0,Yes
Summers,Main Street Care,0,0,0,0,0,0,0,0,No
Summers,Summers Nursing and Rehabilitation Center,1,2,9,59,13,60,17,9,Yes
Taylor,Rosewood Center,0,2,0,0,0,36,21,7,Yes
Taylor,Taylor Health Care Center,0,0,1,0,2,1,4,1,Yes
Tucker,Cortland Acres Nursing Home,11,5,0,0,3,11,8,0,Yes
Tyler,Sistersville Center,0,3,0,0,0,0,6,0,Yes
Upshur,Holbrook Nursing Home,0,0,0,0,0,1,6,0,No
Upshur,St. Joseph's Hospital,0,0,0,0,0,0,0,0,No
Wayne,Wayne Nursing and Rehabilitation Center,0,2,0,0,0,47,41,9,Yes
Webster,Webster Nursing and Rehabilitation Center,0,0,0,0,0,1,9,0,No
Wetzel,New Martinsville Center,0,0,0,0,0,51,26,8,No
Wood,Ohio Valley Health Care,0,0,0,0,0,0,3,0,No
Wood,Parkersburg Center,11,6,2,11,11,22,17,2,Yes
Wood,Stonerise Parkersburg (Eagle Pointe),34,13,0,0,13,34,26,0,Yes
Wood,Willows Center,1,1,0,14,17,15,18,0,Yes
Wood,Worthington Healthcare Center,30,25,0,2,6,32,31,0,Yes
Wyoming,Wyoming Nursing and Rehabilitation Center (Wyoming Continious Care),6,0,0,23,11,29,11,0,Yes
