Facility Name,Facility Type,County,Unique Confirmed Cases,Deaths Residents/Patients,Deaths Staff,Attack Rate Residents/Patients,Attack Rate Staff,Confirmed COVID-19 Cases Residents/Patients,Confirmed COVID-19 Cases Staff,Confirmed COVID-19 Cases Imported
GOOD SHEPHERD IV,Assisted Living,Clark,4,0,0,100.00%,0.00%,4,0,0
HELPING HANDS CARE HOME II,Assisted Living,Clark,6,1,0,71.43%,33.33%,5,1,0
HENDERSON CARE HOME,Assisted Living,Clark,2,0,0,20.00%,20.00%,1,1,0
HERITAGE SPRINGS ASSISTED LIVING MEMORY CARE,Assisted Living,Clark,14,0,0,3.08%,18.46%,2,12,0
HIGHLAND INN OF FALLON,Assisted Living,Churchill,11,0,0,29.03%,14.29%,9,2,0
HILLSIDE MANOR AT MOUNTAINS EDGE,Assisted Living,Clark,2,0,0,40.00%,0.00%,2,0,0
HORIZON HILLS RESIDENTIAL GROUP CARE (8115),Assisted Living,Washoe,3,1,0,60.00%,0.00%,3,0,0
INSPIRATIONS SENIOR LIVING IN PAHRUMP,Assisted Living,Nye,1,0,0,0.00%,2.17%,0,1,0
JC FAMILY SERVICES,Assisted Living,Washoe,2,0,0,0.00%,28.57%,0,2,0
JOHNNY ANGEL'S CARE HOME,Assisted Living,Clark,2,0,0,28.57%,0.00%,2,0,0
JOYFUL SENIOR CARE HAVEN,Assisted Living,Clark,1,0,0,0.00%,16.67%,0,1,0
KIND HEARTS,Assisted Living,Clark,9,2,0,85.71%,37.50%,6,3,0
LAKEVIEW TERRACE,Assisted Living,Clark,2,0,0,0.00%,5.26%,0,2,0
LAS VENTANAS ASSISTED LIVING,Assisted Living,Clark,3,0,0,3.85%,4.65%,1,2,0
LEGACY HOUSE OF CENTENNIAL HILLS,Assisted Living,Clark,32,2,0,20.54%,10.00%,23,9,0
LEGACY HOUSE OF SOUTHERN HILLS,Assisted Living,Clark,50,7,0,43.84%,30.00%,32,18,0
LIBERTY RESIDENTIAL CARE,Assisted Living,Clark,5,0,0,50.00%,100.00%,3,2,0
LIFE SHARE CARE HOME,Assisted Living,Clark,12,1,0,100.00%,66.67%,8,4,0
LIVE N LOVE,Assisted Living,Clark,1,1,0,16.67%,0.00%,1,0,0
LONGEVITY RESIDENTIAL CARE,Assisted Living,Washoe,9,0,0,100.00%,33.33%,7,2,0
MARTHA'S HOUSE SENIOR LIVING,Assisted Living,Clark,1,0,0,20.00%,0.00%,1,0,0
MARVEL MANOR,Assisted Living,Clark,11,3,0,60.00%,55.56%,6,5,0
MASON VALLEY RESIDENCE,Assisted Living,Lyon,39,4,0,75.00%,60.00%,24,15,0
MERRILL GARDENS AT SIENA HILLS,Assisted Living,Clark,14,0,0,11.76%,29.41%,4,10,0
MERRILL GARDENS OF GREEN VALLEY RANCH,Assisted Living,Clark,10,2,0,8.51%,4.76%,8,2,0
MESA VALLEY ESTATES,Assisted Living,Clark,3,0,0,5.56%,2.56%,2,1,1
MIJN CORP 1748 MINER WAY,Assisted Living,Clark,1,0,0,33.33%,0.00%,1,0,0
MIJN CORP 4009 E ST LOUIS AVE,Assisted Living,Clark,4,0,0,100.00%,100.00%,3,1,0
MIMI'S CARE HOME,Assisted Living,Clark,7,1,0,80.00%,50.00%,4,3,0
MONARCH GROUP HOME,Assisted Living,Clark,8,3,0,75.00%,50.00%,6,2,0
MORNING STAR SENIOR LIVING,Assisted Living,Washoe,14,0,0,2.97%,8.08%,6,8,0
MOTHER'S TOUCH SENIOR HOME,Assisted Living,Clark,8,1,0,75.00%,40.00%,6,2,6
NOVA ALL STAR CARE HOMES,Assisted Living,Clark,1,0,0,0.00%,20.00%,0,1,0
OAKEY ASSISTED LIVING,Assisted Living,Clark,19,0,0,25.00%,24.14%,12,7,1
OAKMONT OF LAS VEGAS,Assisted Living,Clark,20,1,0,7.78%,27.08%,7,13,1
OAKMONT OF THE LAKES,Assisted Living,Clark,28,0,0,38.18%,6.80%,21,7,0
PACIFICA SENIOR LIVING GREEN VALLEY,Assisted Living,Clark,32,7,0,25.88%,13.70%,22,10,0
PACIFICA SENIOR LIVING SAN MARTIN,Assisted Living,Clark,10,1,0,9.68%,1.33%,9,1,0
PACIFICA SENIOR LIVING SPRING VALLEY,Assisted Living,Clark,37,5,0,56.00%,16.98%,28,9,0
PALM VALLEY ASSISTED LIVING,Assisted Living,Clark,11,0,0,11.11%,0.00%,11,0,0
PARADISE CREST HOME CARE,Assisted Living,Clark,2,2,0,0.00%,50.00%,0,2,5
PARADISO HOME,Assisted Living,Clark,4,1,0,22.22%,28.57%,2,2,0
PARK PLACE ASSISTED LIVING,Assisted Living,Washoe,11,1,0,12.20%,37.50%,5,6,0
PEARL CARE HOME,Assisted Living,Clark,6,1,0,83.33%,20.00%,5,1,0
PINEWOOD - MT. OLIVE CARE GROUP HOME,Assisted Living,Washoe,1,0,0,0.00%,0.00%,1,0,0
PINNACLE COMMUNITY SERVICES,Assisted Living,Clark,2,0,0,25.00%,8.33%,1,1,0
PLEASANT VIEW HOME CARE,Assisted Living,Clark,1,0,0,50.00%,0.00%,1,0,0
POET'S WALK MEMORY CARE,Assisted Living,Clark,5,0,0,1.72%,6.56%,1,4,0
PRESTIGE SENIOR LIVING AT MIRA LOMA,Assisted Living,Clark,67,7,0,43.96%,33.33%,40,27,0
PROMENADE ON THE RIVER,Assisted Living,Washoe,1,0,0,0.00%,0.00%,0,1,0
R&L ADULT CARE HOME #2,Assisted Living,Clark,7,1,0,85.71%,50.00%,6,1,0
RISING STAR CBLA,Assisted Living,Washoe,1,0,0,0.00%,20.00%,0,1,0
ROSARIO GROUP HOME,Assisted Living,Clark,1,0,0,25.00%,0.00%,1,0,0
SACHELE RESIDENTIAL CARE,Assisted Living,Clark,1,0,1,0.00%,50.00%,0,1,0
SACHELE SENIOR GUEST HOME,Assisted Living,Clark,1,0,0,14.29%,0.00%,1,0,0
SAINT ANNE RESIDENTIAL CARE CORP,Assisted Living,Clark,5,3,0,83.33%,0.00%,5,0,0
SAN VICENTE HOMECARE,Assisted Living,Clark,10,2,0,60.00%,57.14%,6,4,0
SENIOR RESIDENTIAL CARE,Assisted Living,Clark,9,0,0,66.67%,100.00%,6,3,0
SILVER SKYE DEER SPRINGS ASSISTED LIVING,Assisted Living,Clark,9,1,0,7.78%,4.88%,7,2,0
SILVERADO RANCH MEMORY CARE,Assisted Living,Clark,9,0,0,50.00%,57.14%,5,4,0
SKYLINE ESTATES (9346),Assisted Living,Carson City,19,5,0,16.88%,13.33%,13,6,1
STERLING RIDGE,Assisted Living,Clark,24,4,0,18.07%,13.85%,15,9,0
STONE VALLEY ASSISTED LIVING AND MEMORY CARE,Assisted Living,Washoe,44,6,0,78.57%,28.95%,33,11,0
SUMMIT ESTATES ASSISTED LIVING AND MEMORY CARE,Assisted Living,Washoe,19,0,0,9.57%,11.11%,11,8,0
SUNRISE OF HENDERSON ASSISTED LIVING,Assisted Living,Clark,41,5,0,23.88%,35.71%,16,25,0
THE AMERICANA ASSISTED LIVING,Assisted Living,Clark,2,0,0,4.00%,5.00%,1,1,0
THE BRIDGE AT PARADISE VALLEY ASSISTED LIVING,Assisted Living,Clark,10,0,0,12.82%,11.63%,5,5,0
"THE CHATEAU AT GARDNERVILLE, ASSISTED LIVING AND MEMORY CARE",Assisted Living,Douglas,16,0,0,6.19%,18.00%,7,9,0
THE CORINTHIAN PLACE SOUTH LLC,Assisted Living,Washoe,8,1,0,100.00%,50.00%,7,1,0
THE HOMESTEAD,Assisted Living,Churchill,18,1,0,17.39%,12.24%,12,6,0
THE LODGE ASSISTED LIVING AND MEMORY CARE COMMUNITY,Assisted Living,Carson City,8,0,0,6.10%,6.82%,5,3,0
THE ROYAL PLACE,Assisted Living,Clark,8,2,0,85.71%,66.67%,6,2,0
THE SEASONS OF RENO,Assisted Living,Washoe,26,6,0,18.87%,10.91%,20,6,0
"TRANQUIL BREEZES CARE HOME, LLC",Assisted Living,Clark,10,5,0,63.64%,75.00%,7,3,0
TRUE LOVING CARE II,Assisted Living,Clark,7,1,0,100.00%,16.67%,6,1,0
V N SENIOR CARE OF SEVEN HILLS,Assisted Living,Clark,6,0,0,66.67%,57.14%,2,4,0
VILLA COURT ASSISTED LIVING (3985),Assisted Living,Clark,20,1,0,29.63%,13.33%,16,4,0
VILLA COURT ASSISTED LIVING AND MEMORY CARE (4025),Assisted Living,Clark,19,2,0,30.19%,6.98%,16,3,0
VINTAGE PARK AT SAN MARTIN (LEGACIES MEMORY CARE),Assisted Living,Clark,9,2,0,22.73%,20.00%,5,4,0
WASHOE SENIOR LIVING II,Assisted Living,Washoe,6,0,0,55.56%,25.00%,5,1,0
WE CARE RESIDENTIAL,Assisted Living,Clark,7,1,0,50.00%,66.67%,3,4,0
WELBROOK GRAND MONTECITO,Assisted Living,Clark,20,1,0,86.67%,35.00%,13,7,0
WELL CARE MEDICAL AND BEHAVIORAL CLINIC,Assisted Living,Washoe,3,0,0,0.00%,21.43%,0,3,0
WENTWORTH OF LAS VEGAS,Assisted Living,Clark,17,3,0,11.71%,4.82%,13,4,0
YSL CARE HOME LLC (HIRC),Assisted Living,Clark,1,0,0,0.00%,50.00%,0,1,0
Select all-Skilled Nursing,Skilled Nursing,Carson City,4073,352,8,40.22%,22.02%,"2,256","1,817",314
ADVANCED HEALTH CARE OF LAS VEGAS,Skilled Nursing,Clark,24,1,0,48.15%,14.67%,13,11,2
ADVANCED HEALTH CARE OF PARADISE,Skilled Nursing,Clark,39,2,0,70.37%,24.69%,19,20,0
ADVANCED HEALTH CARE OF RENO,Skilled Nursing,Washoe,20,0,0,11.90%,10.00%,5,15,0
ADVANCED HEALTHCARE OF HENDERSON,Skilled Nursing,Clark,19,3,0,34.29%,8.97%,12,7,1
ADVANCED HEALTHCARE OF SUMMERLIN,Skilled Nursing,Clark,37,4,0,59.38%,32.73%,19,18,5
ALTA SKILLED NURSING AND REHABILITATION CENTER,Skilled Nursing,Washoe,157,4,0,58.43%,27.04%,104,53,1
BATTLE MOUNTAIN GENERAL HOSPITAL SKILLED NURSING FACILITY,Skilled Nursing,Lander,21,0,0,22.73%,88.89%,5,16,0
BOULDER CITY HOSPITAL (SNF),Skilled Nursing,Clark,1,0,0,2.56%,0.00%,1,0,0
CANYON VISTA,Skilled Nursing,Clark,133,10,0,67.01%,27.76%,65,68,8
CAREMERIDIAN - BUFFALO (NEURORESTORATIVE),Skilled Nursing,Clark,26,0,0,39.13%,68.00%,9,17,0
CARSON NURSING AND REHAB,Skilled Nursing,Carson City,9,0,0,6.12%,8.33%,3,6,3
CARSON TAHOE TRANSITIONAL REHAB CENTER,Skilled Nursing,Carson City,47,0,0,25.45%,26.40%,14,33,0
COLLEGE PARK,Skilled Nursing,Clark,69,11,0,41.57%,26.89%,37,32,0
DEL MAR GARDENS,Skilled Nursing,Clark,136,28,1,57.87%,17.46%,103,33,2
EL JEN HEALTHCARE AND REHABILITATION,Skilled Nursing,Clark,102,8,0,49.17%,23.89%,59,43,7
GARDNERVILLE HEALTH & REHAB CENTER,Skilled Nursing,Douglas,52,5,0,100.00%,44.44%,32,20,0
GROVER C. DILS MEDICAL CENTER/SNF,Skilled Nursing,Lincoln,30,1,0,76.92%,27.40%,10,20,1
HARMONY MANOR,Skilled Nursing,Humboldt,14,0,0,0.00%,28.00%,0,14,0
HEARTHSTONE,Skilled Nursing,Washoe,70,4,0,36.07%,17.33%,44,26,1
HIGHLAND MANOR OF ELKO,Skilled Nursing,Elko,93,4,0,42.50%,49.17%,34,59,0
HIGHLAND MANOR OF FALLON,Skilled Nursing,Churchill,83,14,0,70.31%,33.04%,45,38,0
HIGHLAND MANOR OF MESQUITE,Skilled Nursing,Clark,54,7,0,41.82%,30.10%,23,31,0
HORIZON HEALTH AND REHAB,Skilled Nursing,Clark,83,7,0,41.41%,29.17%,41,42,0
HORIZON RIDGE SKILLED NURSING & REHABILITATION (AKA GENERATION HEATHCARE HORIZON RIDGE OF HENDERSON),Skilled Nursing,Clark,77,9,0,50.55%,15.50%,46,31,6
KINDRED FLAMINGO SNU,Skilled Nursing,Clark,59,1,0,31.34%,22.75%,21,38,1
LAKE MEAD HEALTH AND REHAB,Skilled Nursing,Clark,212,19,2,72.46%,14.19%,171,41,2
LAKESIDE HEALTH & WELLNESS,Skilled Nursing,Washoe,92,29,1,56.78%,24.75%,67,25,0
LAS VEGAS POST ACUTE AND REHAB,Skilled Nursing,Clark,45,5,0,20.83%,23.26%,15,30,9
LAS VENTANAS SNF,Skilled Nursing,Clark,8,0,0,0.63%,2.26%,2,6,4
LEFA SERAN SKILLED NURSING FACILITY,Skilled Nursing,Mineral,31,3,0,66.67%,36.96%,14,17,0
LIFE CARE CENTER OF LAS VEGAS,Skilled Nursing,Clark,80,11,0,43.31%,14.88%,55,25,7
LIFE CARE CENTER OF RENO,Skilled Nursing,Washoe,42,3,0,11.93%,15.03%,13,29,0
LIFE CARE CENTER OF SOUTH LAS VEGAS,Skilled Nursing,Clark,98,4,0,69.01%,42.98%,49,49,15
MARQUIS AT CENTENNIAL,Skilled Nursing,Clark,14,0,0,6.52%,4.88%,6,8,0
MARQUIS PLAZA REGENCY,Skilled Nursing,Clark,137,5,0,57.45%,24.35%,81,56,0
MISSION PINES,Skilled Nursing,Clark,89,6,0,33.70%,20.14%,61,28,0
MOUNTAIN VIEW CARE CENTER,Skilled Nursing,Clark,66,2,0,56.25%,21.00%,45,21,9
MOUNTAIN VIEW HEALTH & REHAB,Skilled Nursing,Carson City,22,0,0,6.15%,11.97%,8,14,0
NEURORESTORATIVE FOR KIDS (CARMEN),Skilled Nursing,Clark,10,0,0,0.00%,10.31%,0,10,2
NEURORESTORATIVE NEVADA,Skilled Nursing,Washoe,2,0,0,0.00%,3.08%,0,2,1
NORTH LAS VEGAS CARE CENTER,Skilled Nursing,Clark,82,1,0,33.54%,19.21%,53,29,0
NORTHERN NEVADA STATE VETERANS HOME,Skilled Nursing,Washoe,50,4,0,21.05%,19.77%,16,34,0
PAHRUMP HEALTH AND REHAB,Skilled Nursing,Nye,60,6,0,61.43%,16.83%,43,17,0
PERSHING GENERAL HOSPITAL AND NURSING HOME,Skilled Nursing,Pershing,9,0,0,8.00%,8.75%,2,7,0
PREMIER HEALTH AND REHAB,Skilled Nursing,Clark,78,12,0,62.50%,27.50%,45,33,0
ROSEWOOD REHAB CENTER,Skilled Nursing,Washoe,94,12,0,54.67%,36.55%,41,53,3
ROYAL SPRINGS,Skilled Nursing,Clark,168,4,2,47.25%,20.00%,103,65,3
SAGE CREEK POST-ACUTE,Skilled Nursing,Clark,14,1,0,19.35%,12.31%,6,8,4
SIERRA RIDGE HEALTH AND WELLNESS SUITES,Skilled Nursing,Washoe,4,0,0,6.90%,3.77%,2,2,0
SILVER HILLS,Skilled Nursing,Clark,128,11,0,64.12%,25.73%,84,44,44
SILVER RIDGE HEALTHCARE CENTER,Skilled Nursing,Clark,181,24,0,86.15%,34.85%,112,69,76
SOUTH LYON MEDICAL CENTER SNF,Skilled Nursing,Lyon,4,0,0,0.00%,5.88%,0,4,0
SOUTHERN NEVADA VETERANS HOME,Skilled Nursing,Clark,88,3,0,19.88%,24.02%,33,55,6
SPANISH HILLS WELLNESS SUITES,Skilled Nursing,Clark,17,0,0,5.19%,9.62%,7,10,1
ST. JOSEPH TRANSITIONAL REHAB,Skilled Nursing,Clark,117,10,1,52.27%,41.76%,46,71,1
THE HEIGHTS OF SUMMERLIN,Skilled Nursing,Clark,177,29,0,62.99%,40.00%,97,80,10
TLC CARE CENTER,Skilled Nursing,Clark,121,5,0,27.65%,19.06%,60,61,41
TORREY PINES,Skilled Nursing,Clark,88,3,0,56.18%,21.84%,50,38,14
TRANSITIONAL CARE OF LAS VEGAS,Skilled Nursing,Clark,154,17,1,76.98%,85.07%,97,57,24
TRELLIS CENTENNIAL,Skilled Nursing,Clark,13,0,0,8.82%,13.33%,3,10,0
WELBROOK AT CENTENNIAL HILLS,Skilled Nursing,Clark,9,0,0,11.76%,7.95%,2,7,0
WHITE PINE CARE CENTER,Skilled Nursing,White Pine,7,0,0,3.45%,11.54%,1,6,0
WINGFIELD HILLS HEALTH AND WELLNESS,Skilled Nursing,Washoe,7,0,0,2.30%,5.32%,2,5,0
