submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/25/2021,NE,187923,,,646,0,1894,,,15,0,01/27/2021 12:00:00 AM,Not agree,Not agree
06/12/2021,AL,549716,423193,126523,97,31,11355,9053,2302,5,2,06/14/2021 12:00:00 AM,Agree,Agree
06/15/2020,WI,25480,22932,2548,185,11,700,694,6,2,0,06/16/2020 02:10:11 PM,Agree,Agree
07/31/2020,ND,6602,6602,0,133,0,103,,,0,0,08/01/2020 02:38:12 PM,Agree,Not agree
08/11/2020,GU,449,,,15,0,5,,,0,0,08/12/2020 01:50:14 PM,Not agree,Not agree
02/02/2020,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12/27/2020,CA,2319593,2249322,70271,13613,664,29708,,,570,0,12/28/2020 12:00:00 AM,Agree,Not agree
05/15/2020,CT,36085,34059,2026,621,-11,3285,2524,761,66,8,05/16/2020 03:46:44 PM,Agree,Agree
07/02/2020,NC,76154,76023,131,2070,12,1479,1479,0,11,0,07/02/2020 12:00:00 AM,Agree,Agree
03/07/2021,NE,203157,,,374,0,2113,,,0,0,03/09/2021 12:00:00 AM,Not agree,Not agree
06/09/2021,ND,110351,101268,9083,53,16,1517,,,0,0,06/10/2021 02:48:23 PM,Agree,Not agree
05/11/2020,CT,33765,31955,1810,211,-30,3008,2294,714,41,-10,05/12/2020 05:26:08 PM,Agree,Agree
09/13/2020,MO,108944,,,663,18,2132,,,19,0,09/15/2020 12:00:00 AM,Not agree,Not agree
03/31/2021,ND,103299,96726,6573,208,49,1466,,,0,0,04/01/2021 02:13:30 PM,Agree,Not agree
03/09/2020,WI,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/09/2021,MS,299992,185580,114412,457,301,7080,4916,2164,8,5,03/11/2021 12:00:00 AM,Agree,Agree
03/16/2020,ME,19,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/17/2020,ID,27942,26091,1851,282,32,273,245,28,4,0,08/18/2020 02:26:55 PM,Agree,Agree
02/14/2021,GU,7699,,,10,0,130,,,0,0,02/15/2021 02:46:24 PM,Not agree,Not agree
03/13/2020,VT,2,,,0,0,0,,,0,0,03/15/2020 12:00:00 AM,Not agree,Not agree
07/09/2021,MO,631603,,,1639,472,9387,,,4,0,07/10/2021 02:17:36 PM,Not agree,Not agree
08/23/2020,IL,221595,220178,1417,1893,0,8089,7880,209,6,0,08/24/2020 01:54:34 PM,Agree,Agree
11/19/2020,MI,423621,388797,34824,6304,384,9011,8600,411,93,3,11/20/2020 12:00:00 AM,Agree,Agree
08/08/2020,NV,55644,,,887,1,977,,,30,1,08/09/2020 02:03:10 PM,,
03/21/2021,VI,2858,,,6,0,25,,,0,0,03/22/2021 01:57:09 PM,,
05/09/2021,MI,974134,873038,101096,1301,175,19723,18541,1182,58,1,05/10/2021 12:00:00 AM,Agree,Agree
03/08/2021,CA,3673952,3534725,139227,2378,197,59999,,,101,0,03/09/2021 12:00:00 AM,Agree,Not agree
09/22/2020,CA,810080,804380,5700,2204,44,16351,,,71,0,09/23/2020 12:00:00 AM,Agree,Not agree
07/06/2021,WI,678048,613152,64896,40,5,8144,7323,821,0,0,07/07/2021 02:48:49 PM,Agree,Agree
10/27/2020,CA,937908,928857,9051,3008,109,18170,,,45,0,10/28/2020 12:00:00 AM,Agree,Not agree
07/07/2020,VT,1146,,,2,0,55,,,0,0,07/09/2020 12:00:00 AM,Not agree,Not agree
06/18/2020,IL,135639,134778,861,593,0,6718,6537,181,52,0,06/19/2020 03:01:11 PM,Agree,Agree
08/12/2020,MS,73809,70690,3119,717,65,2517,2391,126,19,1,08/14/2020 12:00:00 AM,Agree,Agree
03/05/2020,NV,1,,,1,,0,,,0,,03/26/2020 04:22:39 PM,,
10/18/2020,IN,147582,,,1605,0,4273,4040,233,24,0,10/18/2020 12:00:00 AM,Not agree,Agree
05/27/2020,MO,13208,,,262,0,858,,,8,0,05/29/2020 12:00:00 AM,Not agree,Not agree
04/23/2020,DE,3579,3529,50,143,1,100,90,10,8,0,06/03/2021 01:36:29 PM,Agree,Agree
03/15/2021,NV,299471,,,184,0,5121,,,3,0,03/16/2021 02:12:32 PM,,
09/27/2020,AL,165253,141879,23374,593,110,3922,3407,515,17,7,09/29/2020 12:00:00 AM,Agree,Agree
11/03/2020,ND,48301,48301,0,1114,0,568,,,12,0,11/04/2020 03:03:00 PM,Agree,Not agree
07/21/2021,AL,565507,433891,131616,1567,485,11466,9148,2318,6,-1,07/22/2021 03:06:50 PM,Agree,Agree
06/23/2020,WI,28127,25331,2796,289,26,757,750,7,6,1,06/24/2020 03:03:27 PM,Agree,Agree
03/26/2020,NH,158,,,21,,1,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/13/2021,MD,370983,,,847,0,8020,7820,200,26,0,02/15/2021 12:00:00 AM,N/A,Agree
04/12/2021,CA,3760790,3614532,146258,1974,161,62031,,,34,0,04/13/2021 12:00:00 AM,Agree,Not agree
07/11/2020,MI,138628,125788,12840,900,83,6402,6093,309,9,1,07/12/2020 12:00:00 AM,Agree,Agree
05/30/2021,DE,108846,101377,7469,46,6,1661,1519,142,0,0,06/01/2021 12:00:00 AM,Agree,Agree
05/27/2021,CT,347137,317892,29245,157,35,8230,6771,1459,3,2,05/28/2021 01:29:21 PM,Agree,Agree
04/15/2020,ID,1587,1507,80,101,80,41,41,0,2,0,04/15/2020 04:22:39 PM,Agree,Agree
06/23/2021,MD,461953,,,66,0,9729,9512,217,7,0,06/24/2021 03:16:23 PM,N/A,Agree
10/04/2020,WI,139928,132663,7265,1926,61,1388,1377,11,5,0,10/05/2020 01:49:47 PM,Agree,Agree
01/10/2021,NC,657361,585939,71422,4739,870,8859,8080,779,93,10,01/10/2021 12:00:00 AM,Agree,Agree
08/31/2020,NV,69484,,,320,0,1334,,,3,0,09/01/2020 02:09:34 PM,,
04/04/2021,MT,105142,97760,7382,105,8,1466,1466,0,1,0,04/05/2021 01:43:02 PM,Agree,Agree
07/20/2020,NV,36925,,,948,0,674,,,1,0,07/21/2020 02:50:17 PM,,
06/26/2020,NH,5638,,,0,0,357,,,0,0,06/27/2020 05:51:58 PM,Not agree,Not agree
05/01/2021,WI,661209,598822,62387,759,84,7569,6841,728,19,1,05/02/2021 02:13:07 PM,Agree,Agree
03/29/2021,CA,3727067,3583483,143584,1772,116,61503,,,50,0,03/30/2021 12:00:00 AM,Agree,Not agree
01/21/2021,NV,266343,,,1200,0,3910,,,47,0,01/22/2021 02:51:49 PM,,
06/29/2021,IN,753528,,,268,0,13882,13457,425,1,0,06/29/2021 12:00:00 AM,Not agree,Agree
07/03/2020,WA,34901,,,755,0,1352,,,10,0,07/05/2020 12:00:00 AM,N/A,N/A
02/23/2021,NE,199532,,,96,0,2050,,,0,0,02/25/2021 12:00:00 AM,Not agree,Not agree
02/24/2020,CT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/26/2020,WA,13515,,,239,0,749,,,11,0,06/02/2021 01:20:48 PM,N/A,N/A
01/24/2021,NV,270907,,,1194,0,4026,,,15,0,01/25/2021 02:42:40 PM,,
12/03/2020,ID,106455,89739,16716,1721,407,1014,927,87,23,1,12/04/2020 03:00:59 PM,Agree,Agree
09/16/2020,MS,94524,87376,7148,602,131,3105,2838,267,26,13,09/18/2020 12:00:00 AM,Agree,Agree
05/14/2020,MT,466,466,0,4,0,16,16,0,0,0,05/15/2020 04:11:22 PM,Agree,Agree
03/14/2020,IN,12,,,0,0,0,0,0,0,0,03/14/2020 12:00:00 AM,Not agree,Agree
07/12/2020,IN,51612,,,533,0,2887,2691,196,12,1,07/12/2020 12:00:00 AM,Not agree,Agree
07/19/2020,NE,22583,,,102,0,301,,,0,0,07/21/2020 12:00:00 AM,Not agree,Not agree
07/17/2021,GU,8477,,,0,0,142,,,0,0,07/19/2021 01:20:07 PM,Not agree,Not agree
06/22/2021,ID,194367,155576,38791,118,31,2140,1865,275,4,2,06/23/2021 03:24:06 PM,Agree,Agree
12/25/2020,IL,930849,930849,0,5742,0,17154,15799,1355,194,38,12/26/2020 02:34:18 PM,Agree,Agree
09/07/2020,GU,1619,,,0,0,14,,,0,0,09/08/2020 02:47:00 PM,Not agree,Not agree
04/17/2020,NE,1138,,,72,,24,,,0,,04/19/2020 12:00:00 AM,Not agree,Not agree
06/01/2021,IL,1382587,1382587,0,401,0,25233,22835,2398,10,2,06/02/2021 02:35:40 PM,Agree,Agree
07/12/2021,VI,4043,,,5,0,32,,,0,0,07/13/2021 02:26:25 PM,,
02/01/2021,DE,80037,76178,3859,214,48,1101,991,110,11,2,02/03/2021 12:00:00 AM,Agree,Agree
03/06/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
03/29/2020,CT,1993,,,469,,34,,,1,,03/28/2020 04:22:39 PM,Agree,Agree
09/26/2020,DE,20389,19355,1034,101,0,633,556,77,2,0,09/28/2020 12:00:00 AM,Agree,Agree
09/23/2020,IN,113337,,,711,0,3751,3525,226,15,0,09/23/2020 12:00:00 AM,Not agree,Agree
05/03/2021,ND,107912,99606,8306,149,89,1494,,,0,0,05/04/2021 02:00:10 PM,Agree,Not agree
07/14/2020,VI,206,,,0,0,6,,,0,0,07/15/2020 03:05:12 PM,,
04/07/2021,MI,844025,758790,85235,7724,897,17617,16553,1064,41,1,04/08/2021 12:00:00 AM,Agree,Agree
07/06/2021,VI,3942,,,10,0,32,,,2,0,07/07/2021 02:48:49 PM,,
02/21/2020,IN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
04/08/2020,NC,4053,4048,5,264,1,72,72,0,9,0,04/08/2020 12:00:00 AM,Agree,Agree
03/31/2021,WI,636041,577195,58846,727,164,7315,6622,693,23,13,04/01/2021 02:13:30 PM,Agree,Agree
06/16/2021,DE,109418,101852,7566,-3,-9,1679,1536,143,0,0,06/17/2021 02:38:09 PM,Agree,Agree
01/10/2021,GU,7399,,,0,0,124,,,0,0,01/11/2021 03:01:02 PM,Not agree,Not agree
02/20/2021,NV,290671,,,371,0,4868,,,37,0,02/21/2021 02:57:50 PM,,
08/31/2020,MI,204817,185901,18916,1404,128,6838,6519,319,11,1,09/01/2020 12:00:00 AM,Agree,Agree
10/08/2020,MT,16677,16677,0,614,0,197,197,0,4,0,10/09/2020 01:43:36 PM,Agree,Agree
07/10/2020,NC,90986,90717,269,2178,31,1601,1600,1,12,0,07/10/2020 12:00:00 AM,Agree,Agree
05/10/2021,MI,976246,874824,101422,2112,326,19788,18603,1185,65,3,05/11/2021 12:00:00 AM,Agree,Agree
12/27/2020,ME,22320,19129,3191,439,80,326,321,5,1,0,12/28/2020 02:42:49 PM,Agree,Agree
08/09/2020,MI,176798,160548,16250,806,70,6626,6309,317,11,0,08/10/2020 12:00:00 AM,Agree,Agree
04/14/2020,WI,3555,,,127,,170,,,16,,04/13/2020 04:22:39 PM,Agree,Agree
06/09/2021,ME,68449,50069,18380,65,17,843,815,28,0,0,06/10/2021 02:48:23 PM,Agree,Agree
02/24/2020,NH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
04/02/2021,NV,304454,,,342,0,5260,,,4,0,04/03/2021 01:51:09 PM,,
10/14/2020,NH,9349,,,70,27,458,,,2,1,10/15/2020 01:30:46 PM,Not agree,Not agree
05/13/2021,NH,97304,,,211,56,1326,,,4,1,05/14/2021 02:07:22 PM,Not agree,Not agree
05/05/2021,MT,109455,99329,10126,140,25,1578,1578,0,1,0,05/06/2021 02:14:04 PM,Agree,Agree
06/10/2020,ID,3260,2947,313,40,7,85,65,20,0,0,06/11/2020 02:48:51 PM,Agree,Agree
07/16/2020,MI,146273,132739,13534,1647,178,6430,6119,311,7,0,07/17/2020 12:00:00 AM,Agree,Agree
03/10/2020,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/16/2020,MO,18244,,,458,5,1013,,,9,0,06/18/2020 12:00:00 AM,Not agree,Not agree
09/15/2020,MD,117888,,,643,0,3977,3823,154,9,0,09/17/2020 12:00:00 AM,N/A,Agree
09/23/2020,MS,97783,89807,7976,571,158,3187,2909,278,19,2,09/25/2020 12:00:00 AM,Agree,Agree
02/14/2020,CT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10/11/2020,CA,876974,869674,7300,3631,88,17456,,,51,0,10/12/2020 12:00:00 AM,Agree,Not agree
01/23/2021,MS,266907,170194,96713,1120,650,6489,4631,1858,17,10,01/25/2021 12:00:00 AM,Agree,Agree
11/05/2020,WA,115359,,,1126,82,2431,,,15,0,11/07/2020 12:00:00 AM,N/A,N/A
12/10/2020,ND,87213,85206,2007,506,35,1130,,,27,0,12/11/2020 03:06:51 PM,Agree,Not agree
05/27/2021,MD,459343,,,248,0,9592,9380,212,11,-1,05/29/2021 12:00:00 AM,N/A,Agree
03/29/2020,ID,310,,,49,,6,,,1,,03/28/2020 04:22:39 PM,Agree,Agree
11/01/2020,MT,33495,33495,0,694,0,376,376,0,1,0,11/02/2020 02:53:09 PM,Agree,Agree
02/07/2021,VT,11935,,,130,7,185,,,1,0,02/09/2021 12:00:00 AM,Not agree,Not agree
10/02/2020,MS,102752,93233,9519,596,207,3273,2978,295,12,2,10/04/2020 12:00:00 AM,Agree,Agree
07/08/2021,WI,678459,613484,64975,227,23,8158,7335,823,4,0,07/09/2021 01:56:56 PM,Agree,Agree
03/14/2021,MS,301911,186429,115482,156,83,7108,4925,2183,0,0,03/16/2021 12:00:00 AM,Agree,Agree
09/25/2020,WA,86481,,,1027,26,2100,,,20,0,09/27/2020 12:00:00 AM,N/A,N/A
04/26/2021,NE,219222,,,258,0,2242,,,0,0,04/28/2021 12:00:00 AM,Not agree,Not agree
10/18/2020,ID,53092,47175,5917,510,89,528,486,42,-1,0,10/19/2020 02:06:44 PM,Agree,Agree
02/16/2021,IN,651307,,,890,0,12559,12168,391,33,2,02/16/2021 12:00:00 AM,Not agree,Agree
08/14/2020,NE,29988,,,328,0,361,,,1,0,08/16/2020 12:00:00 AM,Not agree,Not agree
10/26/2020,NC,266405,255030,11375,1007,98,4545,4449,96,33,4,10/26/2020 12:00:00 AM,Agree,Agree
02/18/2021,MS,291828,181710,110118,414,184,6927,4838,2089,11,3,02/20/2021 12:00:00 AM,Agree,Agree
02/14/2021,NH,70785,,,280,72,1133,,,3,1,02/15/2021 02:46:24 PM,Not agree,Not agree
01/11/2021,NH,52307,,,707,255,869,,,0,0,01/12/2021 02:48:35 PM,Not agree,Not agree
10/07/2020,NV,83437,,,432,1,1679,,,10,3,10/08/2020 01:56:57 PM,,
07/21/2020,NE,23190,,,343,0,310,,,-3,0,07/23/2020 12:00:00 AM,Not agree,Not agree
06/12/2020,NV,10678,,,261,-18,462,,,-14,-18,06/13/2020 05:46:26 PM,,
10/23/2020,ND,36874,36874,0,935,0,448,,,8,0,10/24/2020 01:26:44 PM,Agree,Not agree
05/16/2021,MI,984363,881728,102635,897,123,20101,18898,1203,46,3,05/17/2021 12:00:00 AM,Agree,Agree
12/06/2020,WA,183182,,,1742,66,2925,,,0,0,12/08/2020 12:00:00 AM,N/A,N/A
06/27/2020,WI,30227,27286,2941,559,20,784,777,7,11,0,06/28/2020 02:59:02 PM,Agree,Agree
06/12/2021,MI,998353,893378,104975,157,29,20871,19623,1248,21,0,06/13/2021 12:00:00 AM,Agree,Agree
02/10/2020,NH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
05/30/2020,NV,8495,,,145,0,417,,,2,0,05/31/2020 02:43:17 PM,,
10/07/2020,DE,21816,20752,1064,99,1,649,569,80,3,0,10/09/2020 12:00:00 AM,Agree,Agree
06/30/2021,CA,3869946,3715108,154838,1968,110,63528,,,7,0,07/01/2021 12:00:00 AM,Agree,Not agree
04/25/2021,CT,336210,309048,27162,722,0,8047,6617,1430,0,0,04/26/2021 01:45:41 PM,Agree,Agree
05/28/2020,ID,2769,2520,249,38,3,82,62,20,0,0,05/29/2020 02:19:55 PM,Agree,Agree
10/12/2020,ND,28245,28245,0,508,0,357,,,12,0,10/13/2020 01:29:38 PM,Agree,Not agree
04/08/2020,NE,523,,,45,,14,,,4,,04/10/2020 12:00:00 AM,Not agree,Not agree
07/26/2020,MT,3381,3381,0,39,0,47,47,0,1,0,07/27/2020 02:16:42 PM,Agree,Agree
09/15/2020,CA,786539,781297,5242,2061,41,15859,,,69,0,09/16/2020 12:00:00 AM,Agree,Not agree
06/13/2021,AL,549835,423276,126559,119,36,11359,9056,2303,4,1,06/15/2021 12:00:00 AM,Agree,Agree
03/01/2020,IN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
09/10/2020,VI,1201,,,4,0,18,,,0,0,09/11/2020 01:51:03 PM,,
06/13/2021,NV,327432,,,146,0,5622,,,0,0,06/14/2021 03:07:59 PM,,
04/04/2020,VT,427,,,63,0,20,,,2,0,04/06/2020 12:00:00 AM,Not agree,Not agree
08/06/2020,WI,61985,57779,4206,875,36,985,978,7,8,0,08/07/2020 11:57:59 PM,Agree,Agree
12/29/2020,IN,500471,,,3988,0,9537,9203,334,109,4,12/29/2020 12:00:00 AM,Not agree,Agree
06/26/2021,VI,3844,,,5,0,30,,,0,0,06/28/2021 01:23:06 PM,,
05/10/2020,WI,10219,10219,0,280,0,400,400,0,2,0,05/11/2020 09:26:08 PM,Agree,Agree
01/12/2021,DE,68232,65265,2967,750,65,991,886,105,5,0,01/14/2021 12:00:00 AM,Agree,Agree
02/08/2020,IL,2,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/27/2020,MS,30744,30422,322,502,21,1358,1335,23,14,1,06/29/2020 12:00:00 AM,Agree,Agree
07/26/2021,MS,338079,205783,132296,1291,663,7523,5190,2333,5,5,07/27/2021 02:48:23 PM,Agree,Agree
05/27/2020,NH,4286,,,55,0,223,,,9,0,05/28/2020 03:12:25 PM,Not agree,Not agree
10/14/2020,NC,241760,232993,8767,2658,283,4184,4117,67,36,5,10/14/2020 12:00:00 AM,Agree,Agree
01/16/2021,MS,255313,165324,89989,1628,1026,6282,4530,1752,40,16,01/18/2021 12:00:00 AM,Agree,Agree
06/16/2021,MO,608446,,,724,242,9227,,,3,0,06/17/2021 02:38:09 PM,Not agree,Not agree
06/18/2021,MS,320389,196116,124273,102,33,7424,5120,2304,1,0,06/20/2021 12:00:00 AM,Agree,Agree
02/05/2021,VT,11658,,,102,3,184,,,1,0,02/07/2021 12:00:00 AM,Not agree,Not agree
06/28/2020,ID,5319,4790,529,0,0,91,71,20,0,0,06/29/2020 02:37:31 PM,Agree,Agree
03/28/2020,DE,262,260,2,47,1,5,,,3,,03/30/2020 12:00:00 AM,Agree,Agree
05/08/2020,MS,10614,10532,82,274,8,711,699,12,17,0,05/10/2020 12:00:00 AM,Agree,Agree
06/08/2021,WI,675650,611168,64482,202,34,7981,7178,803,16,-1,06/09/2021 02:26:44 PM,Agree,Agree
05/26/2020,NC,25716,25705,11,369,0,875,875,0,32,0,05/26/2020 12:00:00 AM,Agree,Agree
07/20/2021,CA,3927762,3771977,155785,1390,0,63664,,,0,0,07/21/2021 12:00:00 AM,Agree,Not agree
07/07/2021,MS,323641,197826,125815,479,226,7437,5124,2313,2,0,07/08/2021 02:26:57 PM,Agree,Agree
03/03/2020,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/20/2020,MS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/17/2020,MD,171823,,,2018,0,4514,4350,164,19,0,11/19/2020 12:00:00 AM,N/A,Agree
11/03/2020,WI,251032,238067,12965,6104,333,2171,2102,69,58,6,11/04/2020 03:03:00 PM,Agree,Agree
06/13/2021,VT,22756,,,6,0,249,,,0,0,06/15/2021 12:00:00 AM,Not agree,Not agree
01/26/2021,VI,2373,,,23,0,24,,,0,0,01/27/2021 02:53:24 PM,,
02/17/2020,WA,1,,,0,0,0,,,0,,02/19/2020 12:00:00 AM,N/A,N/A
03/04/2020,MD,0,,,0,,0,0,0,0,0,03/06/2020 12:00:00 AM,N/A,Agree
02/02/2021,IN,630512,,,1524,0,12094,11712,382,49,0,02/02/2021 12:00:00 AM,Not agree,Agree
09/15/2020,NC,193472,189185,4287,1862,145,3402,3373,29,40,3,09/15/2020 12:00:00 AM,Agree,Agree
04/29/2020,MS,8213,8176,37,301,3,568,567,1,26,0,05/01/2020 12:00:00 AM,Agree,Agree
06/04/2020,CA,144174,143987,187,3898,5,4994,,,65,0,06/05/2020 12:00:00 AM,Agree,Not agree
06/24/2021,IN,752395,,,287,0,13862,13438,424,7,0,06/24/2021 12:00:00 AM,Not agree,Agree
07/31/2020,IL,180118,178837,1281,1980,39,7692,7495,197,22,5,08/01/2020 02:38:12 PM,Agree,Agree
06/30/2020,NV,18684,,,553,-9,529,,,-7,0,07/01/2020 03:45:16 PM,,
05/20/2020,MD,43531,,,1208,0,2258,2150,108,36,2,05/22/2020 12:00:00 AM,N/A,Agree
12/11/2020,MT,71870,71870,0,978,0,805,805,0,24,0,12/12/2020 02:59:37 PM,Agree,Agree
05/24/2020,VI,69,,,0,0,6,,,0,0,05/25/2020 02:12:49 PM,,
12/13/2020,ID,121179,101477,19702,547,36,1175,1058,117,6,1,12/14/2020 02:36:45 PM,Agree,Agree
02/02/2021,NE,192170,,,1090,0,1931,,,11,0,02/04/2021 12:00:00 AM,Not agree,Not agree
09/30/2020,MS,101499,92396,9103,612,187,3249,2959,290,13,3,10/02/2020 12:00:00 AM,Agree,Agree
02/21/2021,MD,376966,,,611,0,8234,8032,202,28,0,02/23/2021 12:00:00 AM,N/A,Agree
12/08/2020,VT,4884,,,97,3,92,,,1,0,12/10/2020 12:00:00 AM,Not agree,Not agree
06/30/2021,VI,3879,,,21,0,30,,,0,0,07/01/2021 02:29:33 PM,,
08/15/2020,CT,50897,48887,2010,0,0,4453,3569,884,0,0,08/16/2020 02:57:14 PM,Agree,Agree
07/19/2021,MD,464491,,,294,0,9788,9569,219,7,2,07/20/2021 02:48:47 PM,N/A,Agree
04/11/2020,GU,133,,,3,,5,,,1,,04/10/2020 04:22:39 PM,Not agree,Not agree
07/21/2021,DE,110502,102781,7721,45,0,1697,1551,146,0,0,07/22/2021 03:06:50 PM,Agree,Agree
06/26/2021,AL,552024,424751,127273,186,64,11405,9093,2312,2,0,06/28/2021 12:00:00 AM,Agree,Agree
03/30/2020,VT,234,,,21,0,13,,,1,0,04/01/2020 12:00:00 AM,Not agree,Not agree
04/21/2020,DE,3308,3261,47,278,5,89,79,10,17,10,04/23/2020 12:00:00 AM,Agree,Agree
03/02/2020,WA,1,,,0,0,6,,,5,,03/04/2020 12:00:00 AM,N/A,N/A
03/13/2021,MD,393441,,,1961,0,8556,8354,202,16,0,03/15/2021 12:00:00 AM,N/A,Agree
05/23/2021,NV,322622,,,135,0,5552,,,0,0,05/24/2021 01:46:58 PM,,
09/11/2020,NH,7620,,,47,0,434,,,0,0,09/12/2020 02:12:43 PM,Not agree,Not agree
01/22/2020,DE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/06/2021,IL,1348176,1348176,0,1778,0,24483,22136,2347,40,0,05/07/2021 01:36:40 PM,Agree,Agree
06/11/2020,ND,2980,2980,0,39,0,74,,,1,0,06/12/2020 02:17:59 PM,Agree,Not agree
12/03/2020,IL,759562,759562,0,10959,0,13625,12830,795,228,37,12/04/2020 03:00:59 PM,Agree,Agree
09/16/2020,NC,195088,190676,4412,1616,125,3425,3396,29,23,0,09/16/2020 12:00:00 AM,Agree,Agree
04/13/2020,WA,10134,,,265,0,508,,,0,,04/15/2020 12:00:00 AM,N/A,N/A
06/07/2021,NV,326019,,,209,0,5607,,,7,0,06/08/2021 03:05:30 PM,,
01/27/2021,ND,97305,93074,4231,145,38,1417,,,1,0,01/28/2021 02:49:07 PM,Agree,Not agree
04/14/2021,CT,327298,301324,25974,1609,193,7984,6568,1416,10,0,04/15/2021 01:58:27 PM,Agree,Agree
12/12/2020,NC,450618,415872,34746,6601,978,6467,6146,321,69,12,12/12/2020 12:00:00 AM,Agree,Agree
05/31/2020,VI,69,,,0,0,6,,,0,0,06/01/2020 02:17:42 PM,,
01/24/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
10/17/2020,NE,57338,,,620,0,548,,,1,0,10/19/2020 12:00:00 AM,Not agree,Not agree
10/02/2020,MT,14283,14283,0,459,0,186,186,0,3,0,10/03/2020 01:39:53 PM,Agree,Agree
06/04/2021,MT,112260,101313,10947,131,16,1632,1632,0,5,0,06/05/2021 01:49:07 PM,Agree,Agree
07/06/2021,WA,453665,,,297,42,5960,,,6,0,07/07/2021 02:48:49 PM,N/A,N/A
11/17/2020,AL,235627,196577,39050,2635,653,4975,4236,739,24,7,11/19/2020 12:00:00 AM,Agree,Agree
02/08/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
04/01/2020,IN,2565,,,406,0,124,112,12,25,3,04/01/2020 12:00:00 AM,Not agree,Agree
08/15/2020,MD,100212,,,519,0,3756,3609,147,8,0,08/17/2020 12:00:00 AM,N/A,Agree
09/09/2020,DE,18607,17635,972,103,0,609,537,72,0,0,09/11/2020 12:00:00 AM,Agree,Agree
04/20/2021,NE,217639,,,399,0,2222,,,0,0,04/22/2021 12:00:00 AM,Not agree,Not agree
07/26/2020,AL,95131,87690,7441,801,133,2095,1911,184,42,4,07/28/2020 12:00:00 AM,Agree,Agree
07/13/2020,MT,1843,1843,0,2,0,32,32,0,1,0,07/14/2020 03:13:07 PM,Agree,Agree
01/26/2021,WI,584041,535218,48823,1564,263,6264,5753,511,65,11,01/27/2021 02:53:24 PM,Agree,Agree
03/13/2021,MS,301755,186356,115399,201,107,7108,4925,2183,2,1,03/15/2021 12:00:00 AM,Agree,Agree
07/07/2021,ME,69192,50602,18590,36,7,861,830,31,0,0,07/08/2021 02:26:57 PM,Agree,Agree
07/29/2020,MD,87177,,,892,0,3596,3456,140,11,0,07/31/2020 12:00:00 AM,N/A,Agree
01/23/2020,MI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/18/2020,MS,13302,13206,96,372,1,850,837,13,14,0,05/20/2020 12:00:00 AM,Agree,Agree
05/09/2020,NE,8234,,,403,0,96,,,4,0,05/11/2020 12:00:00 AM,Not agree,Not agree
03/10/2020,NE,4,,,0,,0,,,0,,03/12/2020 12:00:00 AM,Not agree,Not agree
01/01/2021,WI,522523,483007,39516,2085,180,5254,4869,385,12,2,01/02/2021 02:50:51 PM,Agree,Agree
05/14/2020,MO,11020,,,186,0,711,,,14,0,05/16/2020 12:00:00 AM,Not agree,Not agree
06/05/2021,MS,318804,195209,123595,89,20,7402,5107,2295,0,0,06/07/2021 12:00:00 AM,Agree,Agree
11/06/2020,NE,80709,,,2682,0,701,,,27,0,11/08/2020 12:00:00 AM,Not agree,Not agree
03/09/2021,ND,100615,95029,5586,101,69,1452,,,3,0,03/10/2021 02:58:31 PM,Agree,Not agree
02/28/2020,MO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/29/2021,NH,83340,,,313,122,1237,,,0,0,03/30/2021 02:06:13 PM,Not agree,Not agree
03/31/2020,NH,367,,,53,,3,,,0,,03/30/2020 04:22:39 PM,Not agree,Not agree
07/01/2020,DE,11914,10989,925,186,1,510,453,57,1,-1,07/03/2020 12:00:00 AM,Agree,Agree
12/11/2020,MD,232009,,,3538,0,5349,5169,180,51,1,12/13/2020 12:00:00 AM,N/A,Agree
