Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_LatinX,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
20210113,FL,1517472,495545,183998,467616,,,,,104606,265707,467616,689960,359896,23759,12392,3792,5624,,,,,991,960,5624,16147,1988,67598,30385,13590,17533,,,,,3512,2578,17533,45640,4425,,,,,,,,,,,,,
20210113,GA,654356,247677,168469,70574,13066,404,605,,24320,129241,70574,386173,197609,11803,5775,3870,631,187,10,6,,41,1283,631,9857,1315,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,GU,7444,354,,,2234,,3814,,400,642,,,,124,,,,,,,,,124,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,HI,23733,2762,402,,5089,,6680,,757,8043,,,23733,312,28,5,,167,,91,,5,16,,,312,1913,119,11,,472,,570,,30,711,,,711,,,,,,,,,,,,,
20210113,IA,300322,180193,9010,,3003,888,824,,2379,104025,18019,171184,111119,4232,3918,103,,55,12,15,,43,86,110,4122,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,ID,152364,84590,884,,1034,1848,331,,11740,51937,15498,61685,75181,1564,1469,8,,13,30,,,31,13,152,1405,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,IL,1046030,380981,94410,192666,21975,1242,968,,35848,317940,192666,535424,317940,19617,10351,3243,2845,641,22,16,,108,2391,2845,14381,2391,,,,,,,,,,,,,,14339584,4583191,1040450,993777,503913,11205,13804,,423743,6769501,993777,6576306,6769501
20210113,IN,574119,381678,37954,,7482,,,,63755,83250,33997,291894,248228,9163,6323,726,,52,,,,1179,883,203,4641,4319,,,,,,,,,,,,,,2779991,1898600,208351,,50826,,,,328530,293684,106254,1326779,1346958
20210113,KS,252041,174874,12224,,4553,1694,,,9958,48738,34531,150112,67398,3355,2601,172,,39,25,,,184,334,239,2674,442,7540,5678,624,,146,59,,,487,546,1160,5676,704,1083932,671715,50236,,19822,6670,,,35611,299878,80408,576152,427372
20210113,KY,313282,208490,21146,,2898,601,261,12145,,67741,14218,218151,80913,2991,2399,250,,18,2,1,75,,246,53,2588,350,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,LA,355835,169979,111791,,14926,1124,387,,28158,29470,,,355835,8022,4663,3200,,54,9,10,,33,53,201,7501,320,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,MA,448447,159847,27547,98045,11332,366,118,,33560,117632,98045,232770,117632,13359,9988,928,1001,331,11,5,,1024,71,1001,12287,71,17109,8865,1726,2614,597,11,7,,1579,1710,2614,12785,1710,,,,,,,,,,,,,
20210113,MD,314867,105437,89445,52739,6692,,,,14673,45881,52739,216247,45881,6404,3145,2303,612,216,,,,63,65,612,5727,65,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,ME,31150,24086,1775,,353,88,14,303,678,3853,533,21675,8942,453,370,8,,0,1,0,0,4,70,3,319,131,1201,1033,56,,18,5,1,2,19,67,17,1048,136,,,,,,,,,,,,,
20210113,MI,573278,322553,64518,,8487,3034,,22774,31421,120491,29585,364795,178898,14336,9413,3340,,148,66,,218,371,780,397,11374,2565,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,MN,440354,290045,35516,39624,18998,4196,487,6525,6027,38936,39624,361794,38936,5774,4817,288,173,207,79,6,79,19,106,173,5495,106,23018,14328,2696,1944,1291,391,24,517,208,1619,1944,19455,1619,,,,,,,,,,,,,
20210113,MO,429177,213988,37338,,3691,815,30,86,59870,113359,15107,219609,194461,6171,3640,738,,43,9,1,1,1298,441,119,4651,1401,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,MP,128,,,,,,,,,128,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,MS,243899,113709,81418,5365,1076,1863,,,8879,31589,5365,161737,76797,5315,2770,2167,53,16,96,,,74,139,53,4360,902,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,MT,87653,52770,378,,275,7469,,,6115,20646,1923,51180,34550,1069,617,,,,200,,,76,176,,,,3846,2592,22,,,498,,,,734,,,,,,,,,,,,,,,,
20210113,NC,641073,324458,106157,,9724,8427,,,71227,121080,95618,311389,234066,7745,4771,1908,,90,82,,,496,398,557,6097,1091,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,ND,95135,51431,2736,,1271,4071,,1187,23,34416,,,95135,1364,,,,,,,,,1364,,,1364,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,NE,179199,97172,4870,,2673,1176,213,,3606,69489,22227,75632,81340,1803,1222,56,,24,23,1,,22,455,148,955,700,5520,3984,293,,129,89,12,,160,853,1003,3168,1349,,,,,,,,,,,,,
20210113,NH,54125,25696,790,3643,707,59,0,248,1528,21454,3643,29028,21454,885,689,12,24,6,1,0,0,3,150,24,711,150,942,696,38,93,35,0,0,0,17,63,93,786,63,,,,,,,,,,,,,
20210113,NJ,543974,160338,47129,107750,18619,,,,69308,140830,107750,295394,140830,20161,10636,3250,3763,1025,,,,539,948,3763,15450,948,53814,21029,9603,13659,2396,,,,3232,3895,13659,36260,3895,,,,,,,,,,,,,
20210113,NM,159119,24615,1909,67323,1304,26397,,,,37571,67323,54225,37571,2807,805,37,1033,19,808,,,,105,1033,1669,105,10872,1879,112,3739,93,3309,19,,187,1534,3739,5599,1534,,,,,,,,,,,,,
20210113,NV,253985,91688,18794,90672,19556,1269,,,31748,258,90672,163055,258,3596,1936,338,863,413,35,,,7,4,863,2729,4,,,,,,,,,,,,,,1255166,594948,119240,209612,86606,10041,,,234716,3,209612,1045551,3
20210113,NY,1169947,,,,,,,,,1169947,,,1169947,40458,13374,8453,8710,2374,,,,2416,5131,8710,26617,5131,89995,16383,18695,22241,5731,,,,,26945,22241,40809,26945,,,,,,,,,,,,,
20210113,OH,799639,458196,83865,,11089,886,587,19402,45196,180418,25016,485211,289412,9881,7688,1217,,67,8,4,191,107,599,179,8562,1140,42151,28549,7888,,539,56,52,1479,1147,2441,1492,34508,6151,,,,,,,,,,,,,
20210113,OK,341364,193978,18426,,6250,33496,,,11290,77924,33976,194678,112710,2848,2048,178,,41,249,,,84,248,146,2179,523,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,OR,129109,60685,3128,,4105,2335,1170,2052,30900,24734,35147,62001,31961,1708,1129,39,,53,31,15,36,138,267,165,1084,459,7123,4245,228,,265,190,123,129,1301,642,1490,4357,1276,,,,,,,,,,,,,
20210113,PA,741389,358448,65607,,12325,,,,6850,298159,47009,179839,514541,18429,14137,2352,,286,,,,619,1035,758,16636,1035,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,PR,84639,,,,,,,,,84639,,,,1659,,,,,,,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,RI,102485,42123,6169,25955,1714,204,0,812,1472,24036,25955,52494,24036,1987,1397,90,169,31,1,0,1,1,297,169,1521,297,7310,3022,496,1595,120,11,0,25,103,1938,1595,3777,1938,684208,178312,15480,45768,6620,4370,471,336,17631,415220,45768,223220,415220
20210113,SC,365378,164428,76726,,3468,,,,35664,85092,21657,209841,133880,5911,3144,1730,,41,,,,194,802,156,4337,1418,15848,7867,5948,,136,,,,826,1071,794,12607,2447,,,,,,,,,,,,,
20210113,SD,104195,71677,2124,3414,1244,12409,,,2243,11084,3414,89697,11084,1604,1227,7,17,15,206,,,15,117,17,1470,117,5978,4049,113,144,66,1159,,,81,366,144,5468,366,,,,,,,,,,,,,
20210113,TN,665499,395401,83751,,5468,837,451,,55439,124152,42837,403891,218771,8148,6005,1454,,39,9,4,,275,362,243,7127,778,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,TX,2022635,21119,11098,26457,908,,,,348,1962705,26457,33473,1962705,30624,11226,2861,14500,550,,,,154,1333,14500,14791,1333,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,UT,314817,195529,4201,68443,5979,4291,7865,,23281,31544,68443,214830,31544,1449,946,16,233,46,60,48,,99,86,233,1130,86,12160,7417,203,2845,284,388,687,,990,306,2845,9009,306,1924327,1222268,23011,233977,32809,19910,26793,,112571,252988,233977,1349308,252988
20210113,VA,412545,162723,68377,62317,13244,521,,4745,11674,88944,62317,261284,88944,5552,3301,1312,421,197,9,,66,60,186,421,4945,186,19470,8009,5381,3999,859,17,,175,394,636,3999,14835,636,,,,,,,,,,,,,
20210113,VI,2166,,,,,,,,,2166,,,2166,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,VT,9368,7400,449,,502,12,,,173,832,185,7700,1483,158,137,1,,4,1,,,2,13,0,136,22,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,WA,281202,74235,8547,53468,9743,2228,3002,4537,2533,122909,53468,104825,122909,3838,2722,124,467,276,79,60,43,57,10,467,3361,10,16080,5012,544,2356,715,192,315,182,196,6568,2356,7156,6568,,,,,,,,,,,,,
20210113,WI,558020,424766,36450,,13155,6869,,,30623,46157,57594,409422,91004,5679,4809,380,,107,76,,,97,210,329,4970,380,22705,15738,2690,2186,472,339,,,271,1009,2186,19510,1009,,,,,,,,,,,,,
20210113,WV,104392,57644,2162,,,,,23,1330,43233,,,,1671,1112,23,,,,,0,17,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,WY,48289,24320,364,3694,236,1988,126,,1323,19300,3694,28357,19300,522,436,2,41,5,44,1,,4,30,41,451,30,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,AK,50218,16043,1335,,2014,10238,1397,3943,6371,8877,2907,26578,20733,224,83,9,,20,83,15,7,4,3,9,208,7,1101,352,41,,102,289,118,68,47,84,55,818,228,,,,,,,,,,,,,
20210110,AL,401900,127293,66570,,1639,,,,33157,173241,10859,133719,257322,5334,2633,1459,,16,,,,144,1082,99,3624,1611,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,AR,255076,162738,40812,,2296,748,3061,1530,13009,30882,29079,225997,0,4043,2980,588,,26,7,51,13,151,227,142,3901,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,AZ,618546,209810,17836,177978,7878,29896,,,27898,147250,177978,293318,147250,10141,4806,282,2883,111,932,,,249,878,2883,6380,878,43582,19317,1871,14579,713,3531,,,1654,1917,14579,27086,1917,,,,,,,,,,,,,
20210110,CA,2670962,391396,78392,1078116,126414,6261,11131,25284,244040,709928,1078116,882918,709928,29701,9133,1934,13484,3349,96,159,317,373,856,13484,15361,856,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,CO,361148,136442,9968,102241,4875,1986,1011,4875,2600,97150,102241,161757,97150,5208,3257,175,1069,110,34,9,128,36,390,1069,3749,390,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,CT,205994,61407,14792,33100,2151,320,,8754,10226,75244,33100,97650,75244,6324,4584,808,609,72,3,,114,35,99,609,5616,99,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,DC,31791,7959,15129,,643,64,69,,7630,297,6925,22351,2515,817,83,604,106,11,,,,0,13,106,698,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,DE,65273,30310,15031,11285,1269,,,,3916,3462,11285,50526,3462,972,659,226,63,9,,,,14,1,63,908,1,,,,,,,,,,,,,,535558,262641,97334,44292,12914,,,,50041,68336,44292,422930,68336
20210110,FL,1477010,480682,179582,454691,,,,,101309,260746,454691,670806,351513,23261,12093,3729,5522,,,,,967,950,5522,15790,1949,66533,29780,13449,17314,,,,,3458,2532,17314,44884,4335,,,,,,,,,,,,,
20210110,GA,636373,240744,164192,69221,12615,400,590,,22331,126280,69221,375842,191310,11458,5563,3813,620,180,10,6,,37,1229,620,9580,1258,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,GU,7412,354,,,2234,,3814,,400,610,,,,124,,,,,,,,,124,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,HI,23341,2449,364,,4792,,6366,,705,8665,,,,309,25,5,,159,,87,,5,28,,,28,1864,112,11,,445,,552,,27,717,,,717,,,,,,,,,,,,,
20210110,IA,296483,177890,8894,,2965,888,824,,2379,102643,17789,168995,109699,4138,3827,101,,54,12,15,,43,86,109,4029,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,ID,149667,82705,865,,1012,1818,324,,11547,51396,15292,60261,74114,1534,1428,8,,13,29,,,26,30,149,1360,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,IL,1028750,372030,92695,189259,21438,1222,947,,35257,315902,189259,523589,315902,19293,10175,3212,2803,627,22,16,,108,2330,2803,14160,2330,,,,,,,,,,,,,,14103289,4506069,1025383,978869,496593,11015,13556,,418088,6653716,978869,6470704,6653716
20210110,IN,563653,370382,36770,,7281,,,,62240,86980,33542,285458,244653,8985,6162,715,,49,,,,1152,907,200,4529,4256,,,,,,,,,,,,,,2752524,1867822,204937,,50025,,,,320752,308988,105206,1310938,1336380
20210110,KS,242322,167483,11749,,4354,1623,,,14309,42804,33502,144142,64678,3148,2429,164,,37,25,,,226,267,227,2500,421,7257,5431,607,,144,58,,,601,416,1133,5438,686,1051207,647956,47857,,18950,6416,,,61752,268276,77616,560541,413050
20210110,KY,303625,202750,20565,,2823,590,243,11687,,64967,13811,210580,79234,2901,2328,245,,17,2,1,69,,239,53,2501,347,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,LA,346829,155219,104467,,14337,1000,353,,25973,45480,,,346829,7873,4449,3108,,51,9,10,,31,215,186,6949,738,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,MA,432791,142502,25505,89354,10088,330,110,,29987,134915,89354,208522,134915,13151,9616,911,950,319,11,5,,959,380,950,11821,380,16603,8548,1701,2531,580,11,7,,1522,1703,2531,12369,1703,,,,,,,,,,,,,
20210110,MD,306674,102162,87442,51723,6490,,,,14272,44585,51723,210366,44585,6272,3059,2281,608,210,,,,62,52,608,5612,52,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,ME,29298,22563,1746,,341,86,14,273,647,3628,523,20562,8213,432,302,8,,0,0,0,0,4,118,3,270,159,1158,975,55,,17,3,0,1,19,88,17,989,152,,,,,,,,,,,,,
20210110,MI,562553,315477,63301,,8248,2961,,22276,30942,119348,28964,357076,176513,14145,9239,3317,,145,65,,218,376,785,389,11198,2558,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,MN,436572,287390,35206,39266,18759,4155,479,6407,5986,38924,39266,358382,38924,5707,4754,287,172,206,79,6,79,19,105,172,5430,105,22763,14328,2696,1944,1291,391,24,517,208,1364,1944,19455,1364,,,,,,,,,,,,,
20210110,MO,423327,209759,36872,,3598,804,30,85,59393,112786,14858,215388,193081,5948,3474,726,,41,10,1,1,1275,420,117,4496,1335,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,MP,125,,,,,,,,,125,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,MS,239082,110176,79353,5222,1019,1805,,,8675,32832,5222,156837,77023,5167,2666,2112,51,16,95,,,72,155,51,4231,885,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,MT,86324,51915,374,,265,7379,,,5953,20438,1897,50328,34099,1056,548,,,,181,,,62,265,,,,3462,2389,21,,,482,,,,570,,,,,,,,,,,,,,,,
20210110,NC,623188,315636,103371,,9377,8167,,,69015,117622,93725,302652,226811,7567,4665,1867,,89,81,,,478,387,541,5954,1072,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,ND,94716,51191,2727,,1268,4036,,1181,22,34291,,,94716,1360,,,,,,,,,1360,,,1360,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,NE,176026,90780,4628,,2523,1112,205,,3475,73303,21362,71593,83071,1760,1144,57,,23,23,1,,22,490,144,891,725,5460,3824,285,,127,87,12,,156,969,983,3059,1418,,,,,,,,,,,,,
20210110,NH,51600,24594,769,3471,682,54,0,242,1429,20359,3471,27770,20359,869,680,12,22,6,1,0,0,3,145,22,702,145,930,683,38,90,34,0,0,0,15,70,90,770,70,,,,,,,,,,,,,
20210110,NJ,528054,154240,45829,104823,17960,,,,66901,138301,104823,284930,138301,19886,10636,3250,3763,1025,,,,539,673,3763,15450,673,53253,20715,9522,13544,2371,,,,3190,3911,13544,35798,3911,,,,,,,,,,,,,
20210110,NM,156157,24079,1858,66179,1264,25953,,,,36824,66179,53154,36824,2749,770,36,945,19,770,,,,209,945,1595,209,10659,1733,106,3528,88,3132,18,,185,1869,3528,5262,1869,,,,,,,,,,,,,
20210110,NV,248568,89733,18394,89235,19139,1242,,,30573,252,89235,159081,252,3467,1859,329,838,394,38,,,6,3,838,2626,3,,,,,,,,,,,,,,1239164,588014,117602,205495,85416,9903,,,232730,4,205495,1033665,4
20210110,NY,1126442,,,,,,,,,1126442,,,1126442,39899,13125,8393,8673,2355,,,,2374,4979,8673,26247,4979,89995,16172,18529,22072,5644,,,,,27578,22072,40345,27578,,,,,,,,,,,,,
20210110,OH,777065,443518,81661,,10808,863,574,18934,44110,176597,24418,470223,282424,9627,7487,1197,,66,8,4,184,101,580,175,8354,1098,41158,27776,7753,,533,56,52,1454,1126,2408,1467,33693,5998,,,,,,,,,,,,,
20210110,OK,331362,188501,18002,,6105,32501,,,11054,75199,33976,194678,102708,2761,1986,170,,40,243,,,82,240,146,2179,436,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,OR,125683,57486,2993,,3951,2257,1131,1949,29818,26098,33862,58929,32892,1605,1044,39,,49,29,14,34,132,264,157,1008,440,6864,4083,219,,256,184,117,121,1269,615,1455,4198,1211,,,,,,,,,,,,,
20210110,PA,720816,347577,64365,,11963,,,,6592,290319,45789,174890,500137,17770,14137,2352,,286,,,,619,376,758,16636,376,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,PR,83119,,,,,,,,,83119,,,,1630,,,,,,,,,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,RI,97614,38145,5819,24390,1554,184,0,741,1334,25447,24390,47777,25447,1916,1319,88,164,26,1,0,1,1,316,164,1436,316,7027,2816,484,1539,110,11,0,24,99,1944,1539,3544,1944,665270,167950,15042,44117,6212,4532,470,274,17023,409650,44117,211503,409650
20210110,SC,354525,159298,74555,,3355,,,,34915,82402,21122,203597,129806,5811,3088,1700,,41,,,,190,792,155,4256,1400,15598,7738,5875,,132,,,,815,1038,786,12417,2395,,,,,,,,,,,,,
20210110,SD,103318,70973,2114,3394,1241,12349,,,2229,11018,3394,88906,11018,1585,1214,7,17,15,201,,,15,116,17,1452,116,5904,3990,113,142,66,1147,,,81,365,142,5397,365,,,,,,,,,,,,,
20210110,TN,653869,387419,82149,,5345,823,441,,54750,122942,42355,394951,216563,7785,5729,1391,,37,9,4,,264,351,233,6817,735,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,TX,1954406,21119,11098,26457,908,,,,348,1894476,26457,33473,1894476,29877,11226,2861,14500,550,,,,154,586,14500,14791,586,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,UT,305999,189509,4096,67144,5811,4181,7721,,22902,30480,67144,208375,30480,1392,904,15,229,45,58,47,,98,80,229,1083,80,11866,7208,199,2796,272,385,685,,971,290,2796,8780,290,1882166,1191573,22448,228882,31847,19578,26210,,110607,251021,228882,1316127,251021
20210110,VA,398856,156696,66190,61269,12798,509,,4546,11246,85602,61269,251985,85602,5383,3188,1275,411,195,9,,64,60,181,411,4791,181,19095,7791,5288,3969,848,17,,172,392,618,3969,14508,618,,,,,,,,,,,,,
20210110,VI,2143,,,,,,,,,2143,,,2143,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,VT,8967,7000,432,,492,10,,,167,866,183,7300,1484,156,137,1,,2,1,,,2,13,0,134,22,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,WA,271595,70969,8312,51864,9300,2162,2896,4363,2471,119258,51864,100473,119258,3699,2614,120,457,264,78,57,43,57,9,457,3233,9,15771,4874,539,2318,687,186,312,175,193,6487,2318,6966,6487,,,,,,,,,,,,,
20210110,WI,550260,418632,36041,,12890,6788,,,30318,45591,56972,403279,90009,5570,4702,380,,107,75,,,97,209,327,4858,385,22378,15493,2656,2168,467,331,,,269,994,2168,19216,994,,,,,,,,,,,,,
20210110,WV,101212,56497,2138,,,,,17,1319,41241,,,,1582,1059,21,,,,,0,17,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,WY,46832,23733,361,3608,234,1959,123,,1279,18517,3608,27689,18517,489,404,2,34,5,43,1,,4,29,34,426,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,AK,47334,14990,1284,,1910,9794,1342,3828,6165,8021,2699,24428,20207,220,83,9,,20,80,15,7,4,2,9,205,6,1074,339,39,,99,277,117,68,45,90,52,785,237,,,,,,,,,,,,,
20210106,AL,384184,121890,63904,,1572,,,,32337,164481,10666,129041,244477,4994,2495,1395,,15,,,,136,953,95,3459,1440,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,AR,242593,154532,39543,,2183,709,3154,1456,12130,28886,27898,214695,0,3901,2871,576,,25,7,51,13,139,219,140,3761,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,AZ,574680,191453,16707,165961,7175,26048,,,25344,141992,165961,266727,141992,9444,4384,265,2699,93,887,,,219,897,2699,5848,897,41063,17959,1779,13796,647,3328,,,1541,2013,13796,25254,2013,,,,,,,,,,,,,
20210106,CA,2482226,360022,72361,990854,114864,5646,10144,23026,220043,685266,990854,806106,685266,27462,8441,1833,12583,3109,87,142,286,298,683,12583,14196,683,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,CO,349450,133769,9820,100048,4753,1957,1013,4822,2516,90752,100048,158650,90752,5050,3163,174,1042,108,32,9,121,34,367,1042,3641,367,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,CT,199454,60061,14546,32559,2101,317,,8046,9352,72472,32559,94423,72472,6230,4516,804,602,71,3,,102,34,98,602,5530,98,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,DC,30482,7587,14550,,604,62,67,,7312,300,6676,21376,2430,806,82,595,105,11,,,,0,13,105,688,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,DE,61729,28441,14361,10782,1202,,,,3665,3278,10782,47669,3278,947,636,225,63,8,,,,14,1,63,883,1,,,,,,,,,,,,,,523926,256886,95216,42973,12546,,,,48974,67331,42973,413622,67331
20210106,FL,1409906,455718,172348,434292,,,,,96127,251421,434292,639940,335674,22647,11752,3670,5369,,,,,948,908,5369,15403,1875,65232,29117,13239,17016,,,,,3391,2469,17016,44009,4207,,,,,,,,,,,,,
20210106,GA,602796,229587,157521,66886,11876,365,571,,19221,116769,66886,359125,176785,11165,5402,3742,601,177,10,6,,41,1186,601,9342,1222,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,GU,7378,351,,,2227,,3755,,396,649,,,,123,,,,,,,,,123,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,HI,22310,2449,364,,4792,,6366,,705,7634,,,,299,25,5,,159,,87,,5,18,,,18,1843,112,11,,445,,552,,27,696,,,696,,,,,,,,,,,,,
20210106,IA,289952,176871,8699,,2900,888,824,,2379,97391,17397,168172,104383,4060,3754,98,,53,12,15,,41,87,108,3952,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,ID,146106,80468,842,,986,1790,316,,11314,50390,15024,58658,72424,1488,1390,8,,13,29,,,23,25,145,1322,21,,,,,,,,,,,,,,,,,,,,,,,,,,
