/id,/fields/Annotation Summary,/fields/State,/fields/States Daily Column,/fields/Metric,/fields/Annotation,/fields/Evidence For,/fields/Evidence Type,/fields/Evidence,/fields/Evidence Source Link,/fields/Last Checked,/createdTime,/fields/Media/Outreach As Of,/fields/Media/Outreach Out of Date,/fields/MetricTitle,/fields/Excludes
recNBdIVeZjIZBCXM,unclear test type according to website,FL,Total Tests (PCR),"PDF FL primary >  link ""See State Report"" > table ""COVID-19: testing by laboratory"" > column ""Total"" > row ""Total"" note: go to the end of the pdf and scroll back for totals",unclear test type,Test Type,website,"The test table says it reports ""the number of Florida and non-Florida residents for whom test results were received by the Department of Health"" but does not specify the test type.",http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/cases-monitoring-and-pui-information/state-report/state_reports_latest.pdf,2021-02-10,2021-01-28T21:51:47.000Z,,,,
rec4ocTzRUy7pqswM,"viral RNA, antigen according to website",FL,Total PCR Tests (People),"calculated: FL query > click ""link"" > {""T_NegRes"" + ""C_AllResTypes""} note: we want to use the calculation to make sure both numbers keep updating","viral RNA, antigen",Test Type,website,"This is now a positives + negative calculation.  Per the data dictionary linked on the FL dashboard, positive residents (C_AllResTypes Cases) includes ""persons who have COVID-19 positive PCR or antigen laboratory test results on file"" because it has a C_ p",http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/cases-monitoring-and-pui-information/state-report/state_reports_latest.pdf,2021-02-10,2021-01-28T21:51:47.000Z,,,,
reckq2gqvnPQPFMnu,viral RNA according to website,GA,Total Tests (PCR),"GA primary > table ""COVID-19 Testing"" > ""Total PCR/ Molecular""> ""Number of Tests""",viral RNA,Test Type,website,"GA clarifies in its data FAQ that molecular is a synonym for PCR (by using PCR in a parentheses right next to ""molecular""): "". Molecular (PCR) tests detect active virus and infections. These tests are administered by collecting either nose, nose and throat",https://ga-covid19.ondemand.sas.com/docs/GA_COVID19_Dashboard_Guide.pdf,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recgNVLkLP4YYrBhn,viral RNA according to website,GU,Total Tests (PCR),"updates: Monday - Friday GU primary > most recent JIC release > table ""COVID-19 DIAGNOSTIC TESTING ON GUAM"" > row ""MOLECULAR TEST"" > column ""TOTAL""",viral RNA,Test Type,website,"Part of a breakdown between molecular/antigen/antibody tests under ""COVID-19 diagnostic Testing"" table in daily PRs and in the weekly, part of a breakdown between molecular/antigen/antibody tests under the ""COVID-19 testing on Guam"" table"".",http://dphss.guam.gov/covid-19/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recwOO4yVjfX268mH,unclear test type according to website,CO,Total PCR Tests (People),"CO primary > ""People Tested""",unclear test type,Test Type,website,"No clear label on the dash/data FAQ whether ""people tested"" only includes PCR.",https://covid19.colorado.gov/data,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recrx5TNC1DT1zjnB,viral RNA according to website,HI,Total Test Encounters (PCR),"HI primary > ""Total COVID-19 Tests""",viral RNA,Test Type,website,“We only include nucleic acid amplification tests which are the most accurate diagnostic tests available.”,https://health.hawaii.gov/coronavirusdisease2019/why-track-these-numbers/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
reccRamFXRzdia9se,viral RNA according to website,ID,Total Tests (PCR),"ID dash > tab ""Laboratory Testing"" > title ""PCR Tests"" >âTests Performed"" ",viral RNA,Test Type,website,"Idaho's ""Laboratory Testing"" page of their dashboard labels ""Tests Performed"" and ""Idahoans Tested"" under a PCR Tests specific 
section.",https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard/Home,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recOmhJ6n2B3CWf0S,"viral RNA, antigen according to website",IL,Total Tests (PCR),"IL primary > title ""Coronavirus Disease 2019 (COVID-19) in Illinois"" > ""Total Tests Performed""","viral RNA, antigen",Test Type,website,"Illinois' ""Total Tests Performed"" are defined on its dashboard as representing ""*Total molecular and antigen tests performed and reported electronically""",https://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus,2021-02-15,2021-01-28T21:51:47.000Z,,,,
recOjsKrIssTJS70n,"viral RNA, antigen according to website",IN,Total Tests (PCR),"IN primary > ""Total Tests Administered""","viral RNA, antigen",Test Type,website,"hover says ""PCR or antigen tests""",https://www.coronavirus.in.gov/,2021-02-10,2021-01-28T21:51:47.000Z,,,,
rec9qh44xTZnZemxQ,"viral RNA, antigen according to website",IN,Total PCR Tests (People),"IN primary > ""Total Individuals Tested""","viral RNA, antigen",Test Type,website,Hover says PCR or antigen tests.,https://www.coronavirus.in.gov/,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recnY5BhEWTmKW3Zo,"antigen, viral RNA according to website",KS,Total PCR Tests (People),"updates: Monday, Wednesday, Friday KS dash > tab ""Testing Rates"" > section ""Overall Testing"" > ""People""","antigen, viral RNA",Test Type,website,"On the ""Testing Rates"" section of its dashboard, Kansas says its ""People Tested"" figure represents ""any Kansas resident that was tested for the Sars-CoV-2 virus by a diagnostic tests (e.g., PCR, antigen).""",https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recuM3orX8vVtWNbc,viral RNA according to website,KY,Total Tests (PCR),"KY primary > link (pdf) ""KY COVID-19 Daily Report"" > table ""Testing Type Summary"" > ""Total PCR Tests""",viral RNA,Test Type,website,Kentucky separates PCR and antigen testing out in its daily reports.,https://chfs.ky.gov/agencies/dph/covid19/COVID19DailyReport.pdf,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recgNrn1d1e5C8Zpx,viral RNA according to website,MA,Total Tests (PCR),"MA primary > button ""Today's Overview"" > title âTesting"" > ""Tests Reported"" note: the second number in this section",viral RNA,Test Type,website,"Hovering over Total Molecular Tests on COVID-19 Testing page (the note on the Today's Overview page is less complete): ""Covid-19 Molecular Test: The most common kind of molecular test is a PCR test. This diagnostic test identifies the presence of genetic m",https://www.mass.gov/info-details/covid-19-response-reporting#covid-19-interactive-data-dashboard-,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recos6F6gOla4DfRd,viral RNA according to website,MA,Total PCR Tests (People),"long calculation This formula sums the timeseries of new PCR tests (people) to get a cumulative number.  long calculation > hover over ""# MA"" > click play button > title ""Download link"" > ""PCR Total People"" note: long calculation link can be found in cell ",viral RNA,Test Type,website,"Hovering over Total Molecular Tests on COVID-19 Testing page (the note on the Today's Overview page is less complete): ""Covid-19 Molecular Test: The most common kind of molecular test is a PCR test. This diagnostic test identifies the presence of genetic m",https://www.mass.gov/info-details/covid-19-response-reporting#covid-19-interactive-data-dashboard-,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec3hTWkWNDLMWK0O,"CSTE confirmed cases, CSTE-2 probable cases according to website",AK,Positive,"AK primary > button ""Select Residence"" select ""Resident"" > ""Total Cases"" ","CSTE confirmed cases, CSTE-2 probable cases",Cases,website,"""Cases for Alaska are defined in accordance with national standards in the CDC Case Definition
(https://wwwn.cdc.gov/nndss/conditions/coronavirus-disease-2019-covid-19/casedefinition/2020/08/05/). The cases included on the data dashboard include both confi",https://coronavirus-response-alaska-dhss.hub.arcgis.com/datasets/cases-frequently-asked-questions,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recPOuRQ6ZRu46PWY,"CSTE confirmed cases, CSTE-2 probable cases according to website",AL,Positive,"AL dash > ""Cases"" > ""Total Statewide""","CSTE confirmed cases, CSTE-2 probable cases",Cases,website,See confirmed+probable case definitions,https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recTrbPDLgPddAtzU,viral RNA according to website,MD,Total Tests (PCR),"MD dash > ""Testing Volume""",viral RNA,Test Type,website,"In a footnote under the dash: ""Testing volume data represent the static daily total of PCR COVID-19 tests electronically reported.""",https://coronavirus.maryland.gov/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recsb43JQJj70pETI,unclear test type according to website,MD,Total PCR Tests (People),calculated: MD dash > {Confirmed Cases  +  Persons Tested Negative},unclear test type,Test Type,website,"The data dashboard FAQ tells us that confirmed cases follow the CSTE definition, being identified by ""molecular amplification test."" However, the entry for ""Persons Tested Negative"" does not include the test type, so for now, this is unclear.",https://phpa.health.maryland.gov/Documents/faq_covid19_data_dashboard_083120pdf.pdf,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recDoZlJoo8sE9Gr2,viral RNA according to website,WY,Total Tests (PCR),"updates: weekdays WY site > click link ""COVID-19 Testing Data"" > table ""COVID-19 Resulted Tests"" > ""Grand Total""",viral RNA,Test Type,website,"""Resulted tests are completed PCR/molecular tests for COVID-19, with either positive or negative results. The numbers on this dashboard count the number of tests, not the number of cases. Some cases may have multiple results so testing numbers will not mat",https://docs.google.com/document/d/1M6DIYvFReCoeQ2sZEiEPcVXPzOM_4BHzCJYkJSULNvg/edit,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recJ37oyP6iTSalKf,viral RNA according to website,WY,Total PCR Tests (People),"updates: weekdays WY site > click link ""COVID-19 Testing Data"" > ""Number of People Tested""",viral RNA,Test Type,website,"""Resulted tests are completed PCR/molecular tests for COVID-19, with either positive or negative results. The
numbers on this dashboard count the number of tests, not the number of cases. Some cases may have multiple
results so testing numbers will not mat",https://docs.google.com/document/d/1M6DIYvFReCoeQ2sZEiEPcVXPzOM_4BHzCJYkJSULNvg/edit,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec2nYbZFX05zbZtI,viral RNA according to website,WV,Total Tests (PCR),"WV dash > tab ""Overview"" > ""Confirmatory Lab Tests"" ",viral RNA,Test Type,website," ""Confirmatory Lab Tests"" has a definition on the ""i"" hover, which says:

""a laboratory test(PCR) that detects the actual virus that causes COVID-19.""",https://dhhr.wv.gov/COVID-19/Pages/default.aspx,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recBkWlH6t53NsnxR,viral RNA according to website,WI,Total PCR Tests (People),"WI dash > title ""Wisconsin COVID-19 Summary Statistics"" > title ""Testing"" >  ""Total People Tested""",viral RNA,Test Type,website,"Note under ""Wisconsin COVID-19 Summary Statistics"" chart:

""Confirmed cases of COVID-19: Unless otherwise specified, the data described here are confirmed cases of COVID-19 reported to WEDSS. Cases are classified using the national case definition establis",https://www.dhs.wisconsin.gov/covid-19/data.htm,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recWaqiT6Xp9zIopq,viral RNA according to website,ME,Total Tests (PCR),"ME dash > table ""All Reported COVID-19 Tests in Maine"" > column ""Molecular Testing"" > row ""Total"" note: this metric is updated monday - friday, if this metric does not update, leave the previous value in the cell ",viral RNA,Test Type,website,"On 11/2 Maine started separating out Antigen and Molecular testing. Website (View a Table of All Reported COVID-19 Tests in Maine) says: ""Molecular testing includes PCR, isothermal, and NAAT methods.""",https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus/data.shtml#,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recEV3j9mz39fwMj4,"viral RNA, antigen according to website",MI,Total Tests (PCR),"MI dash > tab ""Current Status"" > table ""Laboratory Testing"" > column ""Tests Performed"" > row ""Diagnostic""","viral RNA, antigen",Test Type,website,"Michigan reports ""Diagnostic tests,"" which it specifies includes both NAAT/RT-PCR tests and antigen POC tests in a note on the side of its dashboard in ""Current Status"" tab. ""Diagnostic tests, including...PCR and rapid virus antigen""","https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2021-02-16,2021-01-28T21:51:47.000Z,,,,
recVMv53mu3mt99xC,viral RNA according to website,VT,Total PCR Tests (People),"VT dash > ""People Tested""",viral RNA,Test Type,website,"Definition on dash:""People Tested reflects total people tested. The people tested number reflects tests for a current COVID-19 infection. Includes number of people tested in Vermont and Vermont residents tested outside of Vermont..."" which is unclear howev",https://www.healthvermont.gov/sites/default/files/documents/pdf/COVID19-Weekly-Data-Summary-2-12-2021.pdf,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recnEB4KUeYh4WlVW,viral RNA according to website,VA,Total Test Encounters (PCR),"VA dash >  tab ""Summary""  > title ""Testing (PCR Only)"" > "" Testing Encounters PCR Only""  ",viral RNA,Test Type,website,Metric itself is definitively labeled.,https://www.vdh.virginia.gov/coronavirus/covid-19-in-virginia/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec22V9hUTwjEuz5s,viral RNA according to website,TX,Total Tests (PCR),"TX query > ""ViralTests""",viral RNA,Test Type,website,"Dashboard at link below includes metrics for 'Total Molecular Tests', as well as 'Total Antigen Tests' and 'Total Antibody Tests.' Because these three separate categories are given, it seems safe to assume that 'molecular tests' refer to viral RNA tests.",https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/0d8bdf9be927459d9cb11b9eaef6101f,2021-02-15,2021-01-28T21:51:47.000Z,,,,
recfJjDmkOT2SdB7K,viral RNA according to website,TN,Total Tests (PCR),"TN dash > table ""Laboratory Testing"" > column ""Total"" > row ""PCR""",viral RNA,Test Type,website,"The 'total' in the 'laboratory testing' table is the sum of 'PCR Positive' plus 'PCR Negative'. So, the total consists of exclusively PCR tests.",https://www.tn.gov/content/tn/health/cedep/ncov/data.html,2021-02-16,2021-01-28T21:51:47.000Z,,,,
reciJEfLsZQ7QUD42,"antigen, viral RNA according to website",SD,Total Tests (PCR),"SD primary > tab ""SD Overview"" > ""Total Tests""","antigen, viral RNA",Test Type,website,"It seems likely that SD is lumping PCR & antigen tests: Their main page has a note on 'Tests' which reads ""% Progress shows the percentage of RT-PCR and antigen tests performed..."" indicating that both varieties of testing are combined under a single metri",https://doh.sd.gov/COVID/Dashboard.aspx,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recRgWQDefEcJFlmn,viral RNA according to website,MO,Total Tests (PCR),"MO dash > tab ""Detail:Testing"" > graph ""Test Results by Test Type"" > column ""Total Tests"" > row ""PCR""",viral RNA,Test Type,website,"PCR specified on the breakdown, separate from serology and antigen.",https://showmestrong.mo.gov/public-healthcare-testing/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recRXldglI9vrmBDb,viral RNA according to website,MO,Total PCR Tests (People),"MO dash > tab ""Detail:Testing"" > table ""Individuals Tested by Test Type"" > column ""Total Individuals Tested"" > row ""PCR""",viral RNA,Test Type,website,"PCR specified on the breakdown, separate from serology and antigen.",https://showmestrong.mo.gov/public-healthcare-testing/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recFzWTSSjPR75sNe,unclear test type according to website,MP,Total Tests (PCR),"MP dash > tab ""Testing"" > ""Total Tests""",unclear test type,Test Type,website,"The definitions tab on MP's dashboard says: ""Total tests are the total number of specimens collected in the CNMI"" but it does not provide any information about test type.

",https://cnmichcc.maps.arcgis.com/apps/opsdashboard/index.html#/4061b674fc964efe84f7774b7979d2b5,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recpF0Tn0XmABuIuG,unclear test type according to website,MP,Total PCR Tests (People),"MP dash > tab ""Testing"" > ""Number of People Tested"" note: may only update weekly note: if this metric does not update, leave the previous value in the cell",unclear test type,Test Type,website,"The definitions tab on MP's dashboard says: ""Number of people tested is the total number of individuals who have received at least one COVID-19 test. Some individuals who are at higher risk of exposure, such as health care workers, individuals identified t",https://cnmichcc.maps.arcgis.com/apps/opsdashboard/index.html#/4061b674fc964efe84f7774b7979d2b5,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rechfhoXnupgA32wf,viral RNA according to website,MS,Total Tests (PCR),"updates: weekly MS primary > title ""COVID-19 Testing"" > table > column ""PCR"" > row ""Total tests for COVID-19 statewide"" note: if this metric does not update, leave the previous value in the cell ",viral RNA,Test Type,website,"PCR is specified in MS's breakdown, separate from antigen and antibody.","https://msdh.ms.gov/msdhsite/_static/14,0,420.html",2021-02-17,2021-01-28T21:51:47.000Z,,,,
recTLWA8q3VopHU5T,unclear test type according to website,MT,Total Tests (PCR),"MT dash > tab ""MT COVID-19 Cases"" > ""Total Tests""",unclear test type,Test Type,website,"Linked from ""More Information"" on the bottom of dashboard: Montana doesn't specify what kinds of testing its ""Total Tests"" figure represents - only that it represents ""Total number of COVID-19 tests completed.""",https://ago-item-storage.s3.us-east-1.amazonaws.com/eb235e68109044d7bf6bf6d954688d6e/COVID19_Map_Dashboard_Metadata.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEEkaCXVzLWVhc3QtMSJIMEYCIQCQ0xKTFA%2B1cF7sKV89foDnfeDV6i6v4tUFon%2F8dIx2WAIhAOr40py2IOpCh2qVU%2FB9j,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recjMKcWk9MPy99rA,viral RNA according to website,NC,Total Tests (PCR),"NC dash > ""Completed Tests""",viral RNA,Test Type,website,"From website's info button on ""Daily Tests"": ""Beginning Sept. 22, 2020, daily tests have been broken out to show molecular (PCR) and antigen tests completed starting with data. For dates prior to Sept. 22, 2020, test totals cannot be broken out according t",https://covid19.ncdhhs.gov/dashboard,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recCmfK4gYEDLOVpM,viral RNA according to website,ND,Total Tests (PCR),"long calculation This formula sums PCR specimens tested by day and county to get a cumulative number. long calculation > hover over ""# ND Negatives + Testing"" > click play button >  ""Total PCR tests (specimens) "" note: long calculation link can be found in",viral RNA,Test Type,website,"PCR test in metric title in downloadable public use data set, ""Total PCR tests (specimens)""",https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recRyAH8d2TSM3Il6,viral RNA according to website,ND,Total Test Encounters (PCR),"long calculation This formula sums PCR test encounters by day and county to get a cumulative number. long calculation > hover over ""# ND Negatives + Testing"" > click play button > ""Total PCR tests (susceptible test encounters)  "" note: long calculation lin",viral RNA,Test Type,website,"PCR tests, ""Total PCR tests (susceptible test encounters)"",  in metric title in downloadable public use data set. Antigen test encounters is a separate variable, ""Total Ag tests (susceptible test encounters)"".
",https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recZQPZLJ1H6BIOJC,"viral RNA, antigen according to website",ND,Total PCR Tests (People),"ND primary > column ""Cumulative"" > ""Tests""  > ""Unique Individuals""","viral RNA, antigen",Test Type,website,"Hover over, ""Individuals who have been tested with a PCR or Antigen test at either the state lab or a private lab.""",https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recdtsBMjYuKxUWDI,unclear test type according to website,NE,Total Tests (PCR),"NE dash > ""Total Tests""",unclear test type,Test Type,website,"Nebraska reports a ""Total Tested"" figure on its dashboard without specifying whether it includes antigen testing.",https://experience.arcgis.com/experience/ece0db09da4d4ca68252c3967aa1e9dd,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recQ02jizAfTNn6ey,unclear test type according to website,NE,Total PCR Tests (People),"NE dash > ""People Tested""",unclear test type,Test Type,website,"Nebraska reports a ""People Tested"" figure on its dashboard without specifying whether it includes antigen testing.",https://experience.arcgis.com/experience/ece0db09da4d4ca68252c3967aa1e9dd,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recLY8BpZesNgEV6v,viral RNA according to website,NH,Total Tests (PCR),"NH other > tab ""Testing"" > button ""PCR"" > dropdown ""Show last 7 days"" > select ""Show All Historical Data"" > ""Total Tests All Historical Data"" note: please take a screenshot after you have changed the button and dropdown screenshot: https://internal.covidtr",viral RNA,Test Type,website,"New Hampshire specifies PCR in the data title: ""Total PCR tests"" and breaks out antigen and antibody separately. ",https://www.nh.gov/covid19/dashboard/overview.htm#dash,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recYbmBSc8sOr6QGr,viral RNA according to website,NH,Total PCR Tests (People),"NH primary > ""Total Persons Tested at Selected Laboratories, Polymerase Chain Reaction (PCR)""",viral RNA,Test Type,website,"NH specifies ""Total Persons Tested at Selected Laboratories, Polymerase Chain Reaction (PCR)""",https://www.nh.gov/covid19/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec3kOzzSOoVzeGkl,viral RNA according to website,NJ,Total Tests (PCR),"NJ dash >  ""Total PCR Tests Reported""",viral RNA,Test Type,website,"New Jersey's dashboard reports ""Total PCR Tests Reported.""",https://covid19.nj.gov/#live-updates,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recQmMK0IeYtGCInk,unclear test type according to website,NM,Total Tests (PCR),"NM dash > ""Total # of Tests Performed""",unclear test type,Test Type,website,"New Mexico reports ""total tests"" on its dashboard without specifying the type of test.",https://cvprovider.nmhealth.org/public-dashboard.html,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recIRmyaP3rYwZyj8,unclear test type according to website,NY,Total Test Encounters (PCR),"NY dash > ""Total Persons Tested""",unclear test type,Test Type,website,"No annotation on NY's dashboard, and no information on its datasets either.",https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Map?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recnGzSTv7fbrtHR2,"viral RNA, antigen according to website",AK,Total Tests (PCR),"AK dash > ""Total Tests""","viral RNA, antigen",Test Type,website,"Per website, ""Includes PCR and antigen tests, does not include antibody tests.""",https://experience.arcgis.com/experience/ed1c874ca60b4c15ab09095a070065ca,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recOKZnSXksJVvEMc,unclear test type according to website,OK,Total Tests (PCR),"pdf OK other > click most recent ""EO COVID-19 REPORT"" > ""Cumulative Reported Testing Numbers*""(p. 2) > ""Total Number of Specimens Tested""",unclear test type,Test Type,website,"OK includes no clear definitions of test types anywhere in its executive order reports, or elsewhere on its website.
According to this article by Kasier Health News , antigen tests are included. but there is no mention of it on the OK website itself
https:",https://oklahoma.gov/covid19/newsroom/executive-order-reports.html,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recdpQ2zZWLcZVrNX,viral RNA according to website,SC,Total Tests (PCR),"SC primary > tab ""go to Testing"" > table ""Type of COVID-19 Tests Being Performed"">  column ""Grand Total"" > row ""Viral (molecular)"" ",viral RNA,Test Type,website,"Polymerase Chain Reaction (PCR) or Nucleic acid amplification test (NAAT): This type of testing, also called molecular or viral testing, is done by swabbing the nose or mouth or collecting saliva. The test detects a part of the virus’s genetic material. It",https://scdhec.gov/covid19/covid-19-testing-type-information,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec9RiL8QhVBUjZvu,viral RNA according to website,PA,Total Test Encounters (PCR),"PA other > ""Total PCR Tests"" note: may not update on weekends note: if this metric does not update, leave the previous value in the cell",viral RNA,Test Type,website,Health department COVID-19 page specifically labels PCR tests only.,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,2021-02-16,2021-01-28T21:51:47.000Z,,,,
